ticker,ATRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-05,17.3333
2005-08-08,0.8523
2005-08-09,3.5211
2005-08-10,-1.3605
2005-08-11,3.1034
2005-08-12,-5.8863
2005-08-15,0.1279
2005-08-16,-0.6246
2005-08-17,0.0
2005-08-18,0.8571
2005-08-19,0.0708
2005-08-22,1.2031
2005-08-23,-1.8881000000000001
2005-08-24,-0.2138
2005-08-25,0.0
2005-08-26,-2.5
2005-08-29,-0.3663
2005-08-30,0.0
2005-08-31,0.0
2005-09-01,1.0294
2005-09-02,-3.4934
2005-09-06,-4.2232
2005-09-07,1.4961
2005-09-08,-1.0861
2005-09-09,2.7451
2005-09-12,3.4351
2005-09-13,2.5092
2005-09-14,0.432
2005-09-15,-0.8602
2005-09-16,1.1569
2005-09-19,-0.5004
2005-09-20,-0.1437
2005-09-21,-0.4317
2005-09-22,-1.1561
2005-09-23,0.1462
2005-09-26,0.0
2005-09-27,-0.438
2005-09-28,1.5396
2005-09-29,0.4513
2005-09-30,-0.0898
2005-10-03,0.6475
2005-10-04,-2.0014
2005-10-05,-0.0729
2005-10-06,0.365
2005-10-07,3.1273
2005-10-10,0.2116
2005-10-11,-0.3519
2005-10-12,-0.565
2005-10-13,-0.4972
2005-10-14,0.0
2005-10-17,-0.0714
2005-10-18,-1.4285999999999999
2005-10-19,0.0725
2005-10-20,-0.7965
2005-10-21,0.5109
2005-10-24,-1.4524
2005-10-25,-4.7163
2005-10-26,0.9435
2005-10-27,-13.4232
2005-10-28,-5.5752
2005-10-31,14.3393
2005-11-01,6.3934
2005-11-02,0.077
2005-11-03,-5.1578
2005-11-04,5.276
2005-11-07,0.2313
2005-11-08,-1.8462
2005-11-09,-0.8621
2005-11-10,-2.0553
2005-11-11,-1.3721
2005-11-14,0.0
2005-11-15,-1.472
2005-11-16,-1.5791
2005-11-17,1.2658
2005-11-18,-1.1667
2005-11-21,0.6745
2005-11-22,-1.9263
2005-11-23,-1.3664
2005-11-25,-0.4329
2005-11-28,3.8261
2005-11-29,10.5528
2005-11-30,-3.8636
2005-12-01,-0.788
2005-12-02,4.8451
2005-12-05,0.0
2005-12-06,2.2727
2005-12-07,0.2222
2005-12-08,0.0
2005-12-09,3.4737999999999998
2005-12-12,-8.0714
2005-12-13,0.001
2005-12-14,0.776
2005-12-15,-1.8504
2005-12-16,-2.828
2005-12-19,-1.4551
2005-12-20,0.082
2005-12-21,-0.082
2005-12-22,-1.3946
2005-12-23,-3.411
2005-12-27,-0.9475
