ticker,GCLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-07-22,42.8571
2011-07-25,0.0
2011-07-27,0.0
2011-08-18,-20.0
2011-08-24,-43.75
2011-08-25,55.5556
2011-08-26,24.2857
2011-08-29,-8.046
2011-08-30,-12.5
2011-08-31,-7.1429
2011-09-01,12.3077
2011-09-02,2.7397
2011-09-06,9.3333
2011-09-07,7.3171
2011-09-08,-3.4091
2011-09-09,0.0
2011-09-12,3.5294
2011-09-13,-1.1364
2011-09-14,-10.3448
2011-09-15,12.8205
2011-09-16,0.0
2011-09-19,-14.7727
2011-09-20,0.0
2011-09-21,-20.0
2011-09-22,31.6667
2011-09-23,0.0
2011-09-26,-24.0506
2011-09-27,0.1667
2011-09-28,11.4809
2011-09-29,26.8657
2011-09-30,-27.0588
2011-10-03,-3.2258
2011-10-04,0.0
2011-10-05,36.6667
2011-10-06,-26.8293
2011-10-07,26.6667
2011-10-10,-7.8947
2011-10-11,-7.1429
2011-10-12,-1.5385
2011-10-13,7.8125
2011-10-14,-7.2464
2011-10-17,-3.9063
2011-10-18,0.0
2011-10-19,-2.439
2011-10-20,11.6667
2011-10-21,-7.4627
2011-10-24,8.0645
2011-10-25,-7.4627
2011-10-26,5.9677
2011-10-27,8.067
2011-10-28,-8.4507
2011-10-31,0.0
2011-11-01,0.0
2011-11-02,3.0769
2011-11-03,-2.9851
2011-11-04,-3.0769
2011-11-07,0.0
2011-11-08,-12.6984
2011-11-09,7.2727
2011-11-10,5.0847
2011-11-11,4.8387
2011-11-14,-9.2308
2011-11-15,3.3898
2011-11-16,-1.6393
2011-11-17,0.0
2011-11-18,11.6667
2011-11-21,-2.9851
2011-11-22,-6.1538
2011-11-23,0.8197
2011-11-25,-8.9431
2011-11-28,3.5714
2011-11-29,-5.1724
2011-11-30,9.0909
2011-12-01,5.6667
2011-12-02,-2.2082
2011-12-05,6.4516
2011-12-06,3.7879
2011-12-07,-0.7299
2011-12-08,3.6765
2011-12-09,0.7092
2011-12-12,-2.8169
2011-12-13,0.7246
2011-12-14,-0.7194
2011-12-15,-15.942
2011-12-16,18.9655
2011-12-19,-2.1739
2011-12-21,-0.7407
2011-12-22,-1.4925
2011-12-27,-3.0303
2011-12-28,-17.1875
2011-12-29,3.7736
2011-12-30,7.2727
2012-01-03,-2.5423999999999998
2012-01-04,5.913
2012-01-05,-11.33
2012-01-06,10.0
2012-01-09,-12.4579
2012-01-10,9.2308
2012-01-11,3.8731999999999998
2012-01-12,-6.7797
