ticker,MNRL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-18,10.6667
2019-04-22,5.0703
2019-04-23,1.5289000000000001
2019-04-24,0.0
2019-04-25,-3.0118
2019-04-26,-0.5822
2019-04-29,-0.3416
2019-04-30,0.4407
2019-05-01,-0.7801
2019-05-02,-1.9165
2019-05-03,0.1002
2019-05-06,-0.3003
2019-05-07,-0.2008
2019-05-08,-0.7042
2019-05-09,-2.0263
2019-05-10,0.5688
2019-05-13,2.5193
2019-05-14,4.9147
2019-05-15,2.7247
2019-05-16,1.8613
2019-05-17,-0.9593
2019-05-20,0.2306
2019-05-21,2.0249
2019-05-22,-2.7064
2019-05-23,-2.6426
2019-05-24,-1.0952
2019-05-28,1.1074
2019-05-29,0.2857
2019-05-30,0.2849
2019-05-31,-2.7936
2019-06-03,3.4584
2019-06-04,-1.0829
2019-06-05,-1.2375
2019-06-06,-1.1566
2019-06-07,1.2189
2019-06-10,-0.0482
2019-06-11,0.7229
2019-06-12,-2.0574
2019-06-13,-1.1724
2019-06-14,1.3347
2019-06-17,-1.7561
2019-06-18,1.142
2019-06-19,-0.0491
2019-06-20,4.6169
2019-06-21,1.3146
2019-06-24,-1.8072
2019-06-25,-0.7079
2019-06-26,2.0437
2019-06-27,-2.0494
2019-06-28,2.0447
2019-07-01,1.0718
2019-07-02,-1.2448
2019-07-03,-0.9337
2019-07-05,-1.3666
2019-07-08,-1.5289000000000001
2019-07-09,2.426
2019-07-10,-0.6632
2019-07-11,0.1907
2019-07-12,6.3303
2019-07-15,-3.9391
2019-07-16,-0.9786
2019-07-17,-1.7882
2019-07-18,-3.6416
2019-07-19,0.1989
2019-07-22,-0.794
2019-07-23,4.5523
2019-07-24,4.0191
2019-07-25,-4.0018
2019-07-26,-0.575
2019-07-29,-0.4819
2019-07-30,3.5351
2019-07-31,0.3274
2019-08-01,-3.9161
2019-08-02,-0.8248
2019-08-05,-2.1526
2019-08-06,-2.2
2019-08-07,-3.7832
2019-08-08,-0.4251
2019-08-09,2.9882999999999997
2019-08-12,2.3316
2019-08-13,0.7595
2019-08-14,-2.8643
2019-08-15,-1.9141
2019-08-16,7.6477
2019-08-19,3.8217
2019-08-20,-2.7371
2019-08-21,-0.7278
2019-08-22,-2.4839
2019-08-23,-4.381
2019-08-26,0.3197
2019-08-27,0.3717
2019-08-28,7.8836
2019-08-29,-0.3433
2019-08-30,-1.624
2019-09-03,-2.3012
2019-09-04,3.9427
2019-09-05,4.3842
2019-09-06,-2.6428000000000003
