ticker,BOPO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-22,0.0
2012-02-24,0.0
2012-02-27,30.0
2012-02-29,0.6993
2012-03-01,-23.6111
2012-03-12,23.6364
2012-03-16,10.2941
2012-03-22,0.0
2012-03-26,-13.3333
2012-03-28,-23.0769
2012-03-30,50.0
2012-04-02,0.0
2012-04-03,0.0
2012-04-05,0.0
2012-04-10,0.0
2012-04-13,0.0
2012-04-17,-20.0
2012-04-18,0.0
2012-04-19,-8.3333
2012-04-20,27.2727
2012-04-23,-1.4285999999999999
2012-04-24,-26.087
2012-04-25,7.8431
2012-04-26,-18.1818
2012-04-27,13.3333
2012-04-30,3.9215999999999998
2012-05-02,-5.6604
2012-05-03,2.0
2012-05-04,3.9215999999999998
2012-05-09,-13.2665
2012-05-10,8.7695
2012-05-14,-4.0
2012-05-15,0.0
2012-05-17,-22.9167
2012-05-18,-13.5135
2012-05-21,9.375
2012-05-22,-8.5714
2012-05-23,53.125
2012-05-24,-30.6122
2012-05-29,-20.5882
2012-05-30,11.1111
2012-05-31,-26.6667
2012-06-01,-9.0909
2012-06-04,2.5
2012-06-05,21.9512
2012-06-06,-12.0
2012-06-07,0.0
2012-06-11,122.7273
2012-06-12,-28.5714
2012-06-13,-20.0
2012-06-14,-21.4286
2012-06-15,0.0
2012-06-18,13.6364
2012-06-19,-20.0
2012-06-20,0.0
2012-06-21,25.0
2012-06-22,0.0
2012-06-25,48.0
2012-06-26,-35.1351
2012-06-27,50.0
2012-06-29,-27.7778
2012-07-02,19.2308
2012-07-03,12.9032
2012-07-05,-20.0
2012-07-09,-20.6473
2012-07-10,-9.9859
2012-07-12,0.0
2012-07-13,40.0
2012-07-16,0.0
2012-07-18,-14.2857
2012-07-19,-12.5
2012-07-26,19.0476
2012-07-27,-8.0
2012-07-30,0.0
2012-08-01,9.5652
2012-08-02,3.1746
2012-08-03,7.6923
2012-08-07,-25.0
2012-08-13,-4.7619
2012-08-20,-30.0
2012-08-22,42.8571
2012-08-28,-1.25
2012-08-31,-24.0506
2012-09-04,-6.6667
2012-09-19,-28.5714
2012-09-24,0.0
2012-09-25,0.0
2012-09-28,30.0
2012-10-01,0.0
2012-10-02,-23.8462
2012-10-09,-39.3939
2012-10-10,0.0
2012-10-11,81.3542
2012-10-17,-35.669200000000004
2012-10-19,10.7143
2012-10-22,3.2258
2012-10-23,2.5
2012-10-26,70.7317
2012-11-05,-14.2857
2012-11-06,-16.6667
2012-11-09,20.0
2012-11-16,-2.0833
