ticker,IGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-08,-0.9462
2015-04-09,2.9663
2015-04-10,-1.123
2015-04-13,0.7407
2015-04-14,0.7353
2015-04-15,-1.1192
2015-04-16,-5.6102
2015-04-17,2.0334
2015-04-20,0.6643
2015-04-21,1.0152
2015-04-22,-0.1005
2015-04-23,0.6036
2015-04-24,1.05
2015-04-27,-0.8906
2015-04-28,0.7988
2015-04-29,0.842
2015-04-30,0.0
2015-05-01,1.9155
2015-05-04,1.6867
2015-05-05,-0.237
2015-05-06,-0.5701
2015-05-07,1.2422
2015-05-08,-2.218
2015-05-11,0.0
2015-05-12,-0.8687
2015-05-13,-5.7936
2015-05-14,-5.5297
2015-05-15,0.547
2015-05-18,-1.3058
2015-05-19,1.3782
2015-05-20,-1.4682
2015-05-21,0.2759
2015-05-22,-0.4953
2015-05-26,-0.2212
2015-05-27,1.8847
2015-05-28,0.0
2015-05-29,-1.5777999999999999
2015-06-01,-0.7186
2015-06-02,-1.3363
2015-06-03,0.8465
2015-06-04,-1.5109
2015-06-05,1.1364
2015-06-08,1.1798
2015-06-09,0.2776
2015-06-10,2.9347
2015-06-11,1.3448
2015-06-12,-1.8577
2015-06-15,0.0
2015-06-16,-1.1898
2015-06-17,0.2189
2015-06-18,-0.5461
2015-06-19,-1.8671
2015-06-22,3.0778
2015-06-23,0.0543
2015-06-24,-2.3874
2015-06-25,3.4464
2015-06-26,-1.7732
2015-06-29,-2.0241
2015-06-30,-0.8375
2015-07-01,-1.5766
2015-07-02,-0.6865
2015-07-06,1.0945
2015-07-07,-1.8234
2015-07-08,0.8706
2015-07-09,0.9781
2015-07-10,1.6524
2015-07-13,1.7936999999999999
2015-07-14,-0.3304
2015-07-15,-0.221
2015-07-16,-0.5537
2015-07-17,0.1114
2015-07-20,-0.1669
2015-07-21,1.4485000000000001
2015-07-22,1.318
2015-07-23,-0.1084
2015-07-24,0.5426
2015-07-27,-0.3778
2015-07-28,5.7421
2015-07-29,-0.1537
2015-07-30,0.0
2015-07-31,1.5906
2015-08-03,-1.0101
2015-08-04,-3.7245
2015-08-05,0.106
2015-08-06,-1.0058
2015-08-07,0.2674
2015-08-10,1.2267000000000001
2015-08-11,2.7923999999999998
2015-08-12,1.0764
2015-08-13,-0.0507
2015-08-14,-0.6596
2015-08-17,-0.6639
2015-08-18,-0.874
2015-08-19,-4.0975
2015-08-20,-5.5706
2015-08-21,-1.3746
2015-08-24,-5.1684
2015-08-25,0.558
