ticker,URYL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-07,17.1171
2017-09-22,15.3846
2017-09-28,-16.6667
2017-10-06,2.4
2017-10-11,3.125
2017-10-17,13.6364
2017-10-26,3.3333
2017-10-27,9.6774
2017-10-31,11.7647
2017-11-14,15.7895
2017-12-13,9.0909
2017-12-14,8.3333
2017-12-21,3.8462
2017-12-27,5.9259
2018-01-31,-2.0979
2018-02-01,3.5714
2018-02-06,4.1379
2018-04-17,5.298
2018-05-02,-5.6604
2018-05-21,6.6667
2018-06-25,-6.25
2018-06-26,-6.6667
2018-06-28,-28.5714
2018-06-29,-25.0
2018-07-02,33.3333
2018-07-03,6.5
2018-07-16,29.5775
2018-07-17,7.6087
2018-07-18,0.6734
2018-07-24,0.6689
2018-07-26,0.0
2018-07-27,12.9568
2018-08-01,19.1176
2018-09-17,11.1111
2018-10-03,-6.6667
2018-10-04,0.0
2018-10-16,4.2857
2018-10-17,4.5662
2018-10-25,2.1834
2018-12-24,2.5641
2019-02-20,4.375
2019-04-01,0.7984
2019-04-23,-0.396
2019-05-13,2.7833
2019-06-24,0.5803
2019-08-01,0.0
2019-08-02,3.8462
2019-09-30,1.4815
2019-10-17,0.365
2019-11-14,1.4545
2019-11-15,-1.4337
2019-11-18,1.4545
2019-12-16,3.5842
2019-12-18,0.0
2019-12-19,4.3253
2019-12-26,-0.4975
2019-12-31,-12.3333
2020-01-02,15.019
2020-01-21,-33.8843
2020-01-22,50.0
2020-03-13,0.0
2020-03-19,-18.3333
2020-03-20,-18.3673
2020-03-23,-40.0
2020-04-03,56.25
2020-05-05,38.6667
2020-05-27,-19.2308
