ticker,TRS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-18,6.8182
2007-05-21,2.6383
2007-05-22,1.1609
2007-05-23,-0.8197
2007-05-24,-0.1653
2007-05-25,0.8278
2007-05-29,0.0
2007-05-30,0.4105
2007-05-31,2.5348
2007-06-01,-0.319
2007-06-04,2.4
2007-06-05,0.3906
2007-06-06,-2.6459
2007-06-07,-3.6771000000000003
2007-06-08,1.2448
2007-06-11,-1.8852
2007-06-12,0.7519
2007-06-13,-0.9121
2007-06-14,0.251
2007-06-15,0.1669
2007-06-18,-2.0833
2007-06-19,-0.4255
2007-06-20,1.1111
2007-06-21,1.6061
2007-06-22,-1.8303
2007-06-25,-0.4237
2007-06-26,0.0851
2007-06-27,0.5102
2007-06-28,3.9763
2007-06-29,-1.7086999999999999
2007-07-02,-0.9934
2007-07-03,-0.7525
2007-07-05,1.4322
2007-07-06,0.9136
2007-07-09,-0.6584
2007-07-10,0.4143
2007-07-11,-1.4851
2007-07-12,3.9363
2007-07-13,-0.1612
2007-07-16,1.4527999999999999
2007-07-17,1.2729
2007-07-18,-1.0998
2007-07-19,0.4766
2007-07-20,-0.9486
2007-07-23,-1.2769
2007-07-24,-2.1019
2007-07-25,-0.9083
2007-07-26,-1.25
2007-07-27,0.4219
2007-07-30,-1.7647
2007-07-31,0.5133
2007-08-01,1.1064
2007-08-02,1.0101
2007-08-03,0.0833
2007-08-06,1.3322
2007-08-07,-2.2186
2007-08-08,1.6806999999999999
2007-08-09,-2.8099
2007-08-10,1.5306
2007-08-13,0.1675
2007-08-14,-0.5017
2007-08-15,-2.6891
2007-08-16,0.1727
2007-08-17,0.7759
2007-08-20,2.6518
2007-08-21,-0.6667
2007-08-22,2.9362
2007-08-23,-0.0815
2007-08-24,1.9576
2007-08-27,-0.32
2007-08-28,0.321
2007-08-29,0.0
2007-08-30,-0.48
2007-08-31,-1.4469
2007-09-04,8.646
2007-09-05,-4.1291
2007-09-06,2.036
2007-09-07,-0.3837
2007-09-10,-0.4622
2007-09-11,2.2446
2007-09-12,-3.1037
2007-09-13,-0.9375
2007-09-14,-0.3943
2007-09-17,-1.1085
2007-09-18,0.0
2007-09-19,-0.5604
2007-09-20,0.5626
2007-09-21,-0.7196
2007-09-24,0.2419
2007-09-25,4.6661
2007-09-26,-0.3843
2007-09-27,3.7037
2007-09-28,-1.2649
2007-10-01,4.2954
2007-10-02,4.0462
2007-10-03,-5.9722
2007-10-04,3.1019
2007-10-05,3.2951
2007-10-08,3.6755
