ticker,LYRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-01,16.0
2020-05-04,-4.2026
2020-05-05,-6.3555
2020-05-06,-5.1652000000000005
2020-05-07,-5.0032
2020-05-08,1.4
2020-05-11,5.194
2020-05-12,1.5625
2020-05-13,-7.3231
2020-05-14,-2.3904
2020-05-15,-0.1361
2020-05-18,-12.2616
2020-05-19,12.1118
2020-05-20,4.1551
2020-05-21,-0.9309
2020-05-22,-3.1544
2020-05-26,8.7318
2020-05-27,1.6571
2020-05-28,-1.8809
2020-05-29,1.4058
2020-06-01,1.4493
2020-06-02,-0.8696
2020-06-03,-0.0627
2020-06-04,0.3135
2020-06-05,-0.3125
2020-06-08,-0.0627
2020-06-09,-2.1957
2020-06-10,1.0904
2020-06-11,-4.7589
2020-06-12,-6.7288
2020-06-15,-0.0714
2020-06-16,-5.7184
2020-06-17,-3.3359
2020-06-18,5.3333
2020-06-19,-4.1698
2020-06-22,-9.5571
2020-06-23,-4.4674
2020-06-24,10.8813
2020-06-25,2.0276
2020-06-26,-13.275
2020-06-29,2.0165
2020-06-30,1.8868
2020-07-01,-0.7055
2020-07-02,-1.3321
2020-07-06,-2.5202999999999998
2020-07-07,4.5245
2020-07-08,6.6254
2020-07-09,0.58
2020-07-10,3.542
2020-07-13,-8.4328
2020-07-14,-3.0408
2020-07-15,5.914
2020-07-16,-1.7766
2020-07-17,-2.4117
2020-07-20,-2.6478
2020-07-21,-3.8078
2020-07-22,7.9171
2020-07-23,6.2882
2020-07-24,3.9441
2020-07-27,2.6877
2020-07-28,-0.7698
2020-07-29,3.7237999999999998
2020-07-30,1.6455
2020-07-31,-1.3981
