ticker,YORI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-16,-5.0
2004-08-24,152.6316
2004-08-27,-59.5833
2004-08-30,209.2784
2004-08-31,53.3333
2004-09-01,41.3043
2004-09-02,29.2308
2004-09-03,-9.5238
2004-09-07,-26.3158
2004-09-08,10.7143
2004-09-09,24.1935
2004-09-10,0.0
2004-09-13,-3.8961
2004-09-14,-6.7568
2004-09-15,0.0
2004-09-16,-10.1449
2004-09-17,-6.4516
2004-09-20,-5.1724
2004-09-21,9.0909
2004-09-22,-6.6667
2004-09-23,16.0714
2004-09-24,-13.8462
2004-09-27,-2.6786
2004-09-28,-4.5872
2004-09-29,-15.3846
2004-09-30,-22.7273
2004-10-01,23.5294
2004-10-04,-11.4286
2004-10-05,-6.4516
2004-10-06,-2.2989
2004-10-07,-11.7647
2004-10-08,0.0
2004-10-11,0.0
2004-10-12,-13.3333
2004-10-13,-6.1538
2004-10-14,22.9508
2004-10-15,6.6667
2004-10-18,-12.5
2004-10-19,7.1429
2004-10-20,-6.6667
2004-10-21,-5.7143
2004-10-22,6.0606
2004-10-25,14.2857
2004-10-26,-12.5
2004-10-27,-10.0
2004-10-28,4.7619
2004-10-29,6.0606
2004-11-01,0.0
2004-11-02,0.0
2004-11-03,-12.857099999999999
2004-11-04,1.6393
2004-11-05,-3.2258
2004-11-08,16.6667
2004-11-09,-21.4286
2004-11-10,0.0
2004-11-11,0.0
2004-11-12,0.0
2004-11-15,1.8182
2004-11-16,7.1429
2004-11-17,0.0
2004-11-18,-15.0
2004-11-19,-1.9607999999999999
2004-11-22,2.0
2004-11-23,-1.9607999999999999
2004-11-24,0.0
2004-11-26,0.0
2004-11-29,-10.0
2004-11-30,0.0
2004-12-01,22.2222
2004-12-02,0.0
2004-12-03,-18.1818
2004-12-06,-8.8889
2004-12-07,4.878
2004-12-08,6.9767
2004-12-09,2.1739
2004-12-10,-12.766
2004-12-13,-2.439
2004-12-14,2.5
2004-12-15,-12.1951
2004-12-16,-2.7778
2004-12-17,2.8571
2004-12-20,-13.8889
2004-12-21,19.3548
2004-12-22,-5.4054
2004-12-23,8.5714
2004-12-27,-5.2632
2004-12-28,11.1111
2004-12-29,22.5
2004-12-30,48.9796
2004-12-31,-4.1096
2005-01-03,0.7143
2005-01-04,6.383
2005-01-05,-20.0
2005-01-06,0.0
2005-01-07,11.6667
2005-01-10,-25.3731
2005-01-11,-8.0
2005-01-12,19.5652
2005-01-13,-9.0909
2005-01-14,2.0
2005-01-18,-11.152
