ticker,ZYNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-05,16.0714
2015-08-06,18.8923
2015-08-07,27.0186
2015-08-10,43.1948
2015-08-11,-15.3956
2015-08-12,7.8036
2015-08-13,13.8534
2015-08-14,-4.5218
2015-08-17,-2.0953
2015-08-18,-5.5409
2015-08-19,-2.9173999999999998
2015-08-20,-9.9105
2015-08-21,-2.8034
2015-08-24,-2.1541
2015-08-25,-13.9179
2015-08-26,-1.3871
2015-08-27,12.8352
2015-08-28,6.7394
2015-08-31,2.5911999999999997
2015-09-01,2.2768
2015-09-02,4.487
2015-09-03,-4.1944
2015-09-04,0.0695
2015-09-08,-3.1597
2015-09-09,-6.3822
2015-09-10,-8.1195
2015-09-11,-13.2972
2015-09-14,-0.3365
2015-09-15,1.3989
2015-09-16,-2.0457
2015-09-17,-2.8655
2015-09-18,-2.45
2015-09-21,-4.7668
2015-09-22,-3.1755
2015-09-23,3.2796
2015-09-24,-7.1582
2015-09-25,-6.7826
2015-09-28,-12.7488
2015-09-29,-9.7648
2015-09-30,13.0332
2015-10-01,-7.3375
2015-10-02,-1.7345000000000002
2015-10-05,10.9747
2015-10-06,-2.5587999999999997
2015-10-07,-4.0454
2015-10-08,7.3964
2015-10-09,-0.9642
2015-10-12,2.0862
2015-10-13,-2.1798
2015-10-14,6.0585
2015-10-15,13.7229
2015-10-16,-7.5058
2015-10-19,0.1248
2015-10-20,-5.7357
2015-10-21,-6.746
2015-10-22,-8.9362
2015-10-23,-0.4673
2015-10-26,0.4695
2015-10-27,-2.5701
2015-10-28,2.0783
2015-10-29,-1.4096
2015-10-30,0.0
2015-11-02,4.2097
2015-11-03,6.4024
2015-11-04,-2.149
2015-11-05,4.612
2015-11-06,-1.2596
2015-11-09,-5.2445
2015-11-10,-4.2633
2015-11-11,1.9531
2015-11-12,-2.6054
2015-11-13,1.967
2015-11-16,2.2377
2015-11-17,2.566
2015-11-18,-2.1339
2015-11-19,-0.3008
2015-11-20,-1.9607999999999999
2015-11-23,3.0769
2015-11-24,0.597
2015-11-25,1.1869
2015-11-27,-1.7595
2015-11-30,1.2687
2015-12-01,-0.2948
2015-12-02,-3.6955
2015-12-03,0.8442
2015-12-04,-1.3699
2015-12-07,1.0802
2015-12-08,2.0611
2015-12-09,-1.4959
2015-12-10,0.3797
2015-12-11,-0.2269
2015-12-14,1.3647
2015-12-15,-2.2438
2015-12-16,2.1423
2015-12-17,-2.3970000000000002
2015-12-18,-6.2164
2015-12-21,-4.5008
