ticker,EMEXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-04-10,-35.4839
2013-04-23,-26.6667
2013-04-26,13.6364
2013-04-29,40.0
2013-05-01,-11.4286
2013-05-02,-3.2258
2013-05-07,0.0
2013-05-10,13.3333
2013-05-16,-11.7647
2013-05-17,-16.6667
2013-05-20,-20.0
2013-05-21,40.0
2013-05-28,7.1429
2013-05-29,10.0
2013-06-04,-9.0909
2013-06-05,0.0
2013-06-07,1.6667
2013-06-11,-1.6393
2013-06-12,0.0
2013-06-13,-16.6667
2013-06-17,16.0
2013-06-18,3.4483
2013-06-20,-13.3333
2013-06-24,15.3846
2013-06-26,-16.6667
2013-06-28,4.0
2013-07-05,15.3846
2013-07-12,-23.2292
2013-07-15,-15.3324
2013-07-16,5.1282
2013-07-17,2.439
2013-07-19,-4.7619
2013-07-22,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-29,-25.0
2013-07-30,40.0
2013-07-31,0.0
2013-08-02,-4.7619
2013-08-06,0.0
2013-08-08,0.0
2013-08-13,0.0
2013-08-19,4.0
2013-08-21,-2.8846
2013-08-23,-0.9901
2013-08-26,-5.0
2013-08-28,-21.0526
2013-09-12,-30.6667
2013-09-25,-3.8462
2013-10-03,0.0
2013-10-08,-30.0
2013-10-11,71.4286
2013-10-15,25.0
2013-10-17,6.6667
2013-10-18,-6.25
2013-10-21,-66.6667
2013-10-22,40.0
2013-10-28,28.5714
2013-10-29,0.0
2013-10-30,66.6667
2013-11-04,-32.6667
2013-11-11,-0.9901
2013-11-13,65.0
2013-11-15,7.2727
2013-11-18,12.9944
2013-11-20,-5.0
2013-11-26,-5.2632
2013-11-29,0.0
2013-12-03,5.5556
2013-12-05,-5.2632
2013-12-10,0.0
2013-12-12,0.0
2013-12-13,-15.2778
2013-12-16,31.1475
2013-12-17,-25.0
2013-12-19,0.0
2013-12-23,-20.0
2013-12-30,-8.3333
2013-12-31,36.3636
2014-01-02,0.0
2014-01-06,-33.3333
2014-01-09,-20.0
2014-01-13,25.0
2014-01-14,20.0
2014-01-16,-16.6667
2014-01-17,0.0
2014-01-22,0.0
2014-01-23,1.0
2014-01-27,-0.9901
2014-01-28,5.0
2014-02-03,0.0
2014-02-06,-4.7619
2014-02-07,50.0
2014-02-10,13.3333
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,0.0
2014-02-18,0.0
2014-02-19,5.8824
2014-02-20,-5.5556
2014-02-21,5.8824
2014-02-25,-5.5556
2014-02-27,-5.8824
