ticker,MUIFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0
2000-01-04,-3.0612
2000-01-05,0.4561
2000-01-06,2.0608
2000-01-07,3.3539
2000-01-10,-0.7285
2000-01-11,-0.567
2000-01-12,0.4025
2000-01-13,1.6705999999999999
2000-01-14,0.723
2000-01-18,-1.925
2000-01-19,-0.1663
2000-01-20,-1.3329
2000-01-21,-0.8105
2000-01-24,-2.3153
2000-01-25,0.1394
2000-01-26,0.8006
2000-01-27,0.0
2000-01-28,-2.2099
2000-01-31,2.1186
2000-02-01,0.4841
2000-02-02,-0.1721
2000-02-03,0.6205
2000-02-04,-0.8565
2000-02-07,-0.2419
2000-02-08,0.9699
2000-02-09,-1.9897
2000-02-10,-1.2601
2000-02-11,-1.6306
2000-02-14,0.036
2000-02-15,1.4769
2000-02-16,-1.1715
2000-02-17,-0.7543
2000-02-18,-3.1126
2000-02-22,0.9339
2000-02-23,-0.4071
2000-02-24,-0.9662
2000-02-25,-1.5385
2000-02-28,1.2957
2000-02-29,0.7148
2000-03-01,0.0747
2000-03-02,-0.5226
2000-03-03,1.5385
2000-03-06,-1.663
2000-03-07,-3.4573
2000-03-08,1.2456
2000-03-09,2.5375
2000-03-10,-0.4499
2000-03-13,-0.3766
2000-03-14,-1.4367
2000-03-15,4.5646
2000-03-16,0.0
2000-03-17,4.6222
2000-03-20,-0.8065
2000-03-21,2.1916
2000-03-22,0.3459
2000-03-23,1.172
2000-03-24,-0.5451
2000-03-27,-1.2676
2000-03-28,-0.0076
2000-03-29,0.6957
2000-03-30,0.7945
2000-03-31,0.9596
2000-04-03,2.1724
2000-04-04,0.0997
2000-04-05,-0.8629
2000-04-06,0.0335
2000-04-07,0.1339
2000-04-10,0.4345
2000-04-11,1.2313
2000-04-12,0.2959
2000-04-13,-0.9833
2000-04-14,-4.6011
2000-04-17,1.6655
2000-04-18,1.6724
2000-04-19,-0.5035
2000-04-20,1.8893
2000-04-24,1.0265
2000-04-25,1.7044000000000001
2000-04-26,-1.1602000000000001
2000-04-27,-0.6195
2000-04-28,-0.9843
2000-05-01,0.7621
2000-05-02,-0.5261
2000-05-03,-1.4215
2000-05-04,-0.4359
2000-05-05,1.6167
2000-05-08,0.6298
2000-05-09,-0.1318
2000-05-10,-0.9565
2000-05-11,1.7982
2000-05-12,0.5234
2000-05-15,1.562
2000-05-16,0.8971
2000-05-17,-0.9209
2000-05-18,0.1923
2000-05-19,-1.6635
2000-05-22,-0.1627
2000-05-23,-0.0978
