ticker,CORX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-11,40.0
2006-01-19,7.1429
2006-01-20,-33.3333
2006-01-23,90.0
2006-01-24,110.5263
2006-01-25,87.5
2006-01-26,-32.0
2006-02-01,-21.5686
2006-02-02,0.0
2006-02-03,-25.0
2006-02-07,3.3333
2006-02-08,-3.2258
2006-02-14,-26.6667
2006-02-16,31.8182
2006-02-17,3.4483
2006-02-22,-23.3333
2006-02-23,30.4348
2006-02-27,-26.6667
2006-02-28,-15.9091
2006-03-03,-24.3243
2006-03-07,14.2857
2006-03-08,25.0
2006-03-09,-40.0
2006-03-13,66.6667
2006-03-17,-40.0
2006-03-21,50.0
2006-03-22,-27.7778
2006-03-27,-7.6923
2006-03-28,0.0
2006-03-30,33.3333
2006-03-31,6.25
2006-04-03,-23.5294
2006-04-04,-7.6923
2006-04-06,16.6667
2006-04-12,0.0
2006-04-25,0.0
2006-04-26,-7.1429
2006-04-28,-7.6923
2006-05-01,-33.3333
2006-05-04,-12.5
2006-05-05,0.0
2006-05-17,-28.5714
2006-06-22,-60.0
2006-06-23,100.0
2006-06-27,-25.0
2006-07-03,-33.3333
2006-07-05,0.0
2006-07-11,0.0
2006-07-14,-50.0
2006-07-17,100.0
2006-07-18,0.0
2006-07-24,0.0
2006-07-25,0.0
2006-07-28,0.0
2006-07-31,100.0
2006-08-04,-25.0
2006-08-07,33.3333
2006-08-08,-12.5
2006-08-14,0.0
2006-08-15,-42.8571
2006-08-16,50.0
2006-08-25,-33.3333
2006-08-28,0.0
2006-09-05,-50.0
2006-09-06,0.0
2006-09-07,0.0
2006-09-08,50.0
2006-09-11,26.6667
2006-09-12,-21.0526
2006-09-13,0.0
2006-09-14,-6.6667
2006-09-15,7.1429
2006-09-18,-20.0
2006-09-19,0.0
2006-09-21,-8.3333
2006-09-22,-18.1818
2006-09-25,-5.5556
2006-09-26,0.0
2006-09-27,5.8824
2006-09-28,0.0
2006-09-29,5.5556
2006-10-02,-21.0526
2006-10-03,13.3333
2006-10-04,5.8824
2006-10-05,0.0
2006-10-06,-5.5556
2006-10-10,3.6765
2006-10-11,-3.5461
2006-10-12,17.647100000000002
2006-10-13,20.0
2006-10-16,16.6667
2006-10-18,0.0
2006-10-19,-14.2857
2006-10-20,-8.3333
2006-10-24,-24.4318
2006-10-25,-2.2556
2006-10-26,-1.5385
2006-10-27,23.4375
2006-10-31,-8.8608
2006-11-02,0.0
2006-11-07,-5.5556
2006-11-10,0.0
