ticker,NXGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.2258
2000-01-04,1.6667
2000-01-05,4.918
2000-01-06,3.125
2000-01-07,3.0303
2000-01-10,0.0
2000-01-11,-2.9412000000000003
2000-01-12,-3.0303
2000-01-13,6.25
2000-01-14,1.4706000000000001
2000-01-18,-0.7246
2000-01-19,-2.9196999999999997
2000-01-20,-0.7519
2000-01-21,7.5758
2000-01-24,2.8169
2000-01-25,9.589
2000-01-26,3.75
2000-01-27,2.4096
2000-01-28,0.0
2000-01-31,-1.1764999999999999
2000-02-01,-11.9048
2000-02-02,1.3514
2000-02-03,-1.3333
2000-02-04,-2.027
2000-02-07,-0.6897
2000-02-08,-2.7778
2000-02-09,5.7143
2000-02-10,1.3514
2000-02-11,0.6667
2000-02-14,-1.3245
2000-02-15,8.0537
2000-02-16,1.2422
2000-02-17,0.6135
2000-02-18,-2.439
2000-02-22,-0.625
2000-02-23,1.2579
2000-02-24,0.6211
2000-02-25,9.2593
2000-02-28,10.7345
2000-02-29,10.2041
2000-03-01,11.5741
2000-03-02,12.8631
2000-03-03,-6.6176
2000-03-06,-18.8976
2000-03-07,5.3398
2000-03-08,12.4424
2000-03-09,5.7377
2000-03-10,-0.7752
2000-03-13,-4.6875
2000-03-14,4.5082
2000-03-15,-3.9215999999999998
2000-03-16,-2.449
2000-03-17,0.4184
2000-03-20,-0.8333
2000-03-21,1.2605
2000-03-22,-0.4149
2000-03-23,-2.5
2000-03-24,-3.4188
2000-03-27,0.4425
2000-03-28,0.0
2000-03-29,-3.0837
2000-03-30,-0.9091
2000-03-31,11.9266
2000-04-03,-4.0984
2000-04-04,-12.8205
2000-04-05,-2.9412000000000003
2000-04-06,-3.0303
2000-04-07,1.0417
2000-04-10,-9.2784
2000-04-11,0.0
2000-04-12,-4.5455
2000-04-13,-9.5238
2000-04-14,-5.9211
2000-04-17,-2.0979
2000-04-18,14.2857
2000-04-19,0.625
2000-04-20,5.5901
2000-04-24,3.5294
2000-04-25,-6.8182
2000-04-26,-4.1159
2000-04-27,3.0207
2000-04-28,2.4691
2000-05-01,-3.6145
2000-05-02,-1.25
2000-05-03,-1.2658
2000-05-04,0.641
2000-05-05,-0.6369
2000-05-08,3.8462
2000-05-09,-6.1728
2000-05-10,-6.5789
2000-05-12,2.8169
2000-05-15,-2.7397
2000-05-16,-5.4577
2000-05-17,-4.6555
2000-05-18,-10.1563
2000-05-19,-6.087
2000-05-22,-3.7037
2000-05-23,1.9231
