ticker,CBDEF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-11,9.0909
2014-02-12,25.0
2014-02-14,0.0
2014-02-18,0.0
2014-02-19,0.0
2014-03-06,20.0
2014-03-07,0.0
2014-03-12,-33.3333
2014-03-13,-75.0
2014-03-26,233.3333
2014-04-22,-30.0
2014-04-24,42.8571
2014-05-22,-15.0
2014-06-03,-52.9412
2014-06-12,0.0
2014-06-13,-5.0
2014-06-16,4.3947
2014-06-17,-7.7388
2014-06-18,4.6448
2014-06-19,-2.6109999999999998
2014-06-20,4.5576
2014-06-23,0.0
2014-06-24,-6.4103
2014-06-25,-4.1096
2014-06-26,0.0
2014-06-27,8.5714
2014-06-30,-10.526299999999999
2014-07-01,-5.5882
2014-07-02,1.8692
2014-07-03,-2.1407
2014-07-07,4.6875
2014-07-08,-4.4776
2014-07-09,3.125
2014-07-10,2.125
2014-07-11,3.557
2014-07-14,-3.4384
2014-07-15,0.8902
2014-07-16,0.0
2014-07-17,-7.2353
2014-07-18,-2.9802999999999997
2014-07-21,2.2876
2014-07-22,-5.7508
2014-07-23,0.678
2014-07-24,1.3468
2014-07-25,-5.6478
2014-07-28,-4.9296
2014-07-29,-7.0787
2014-07-30,-4.3396
2014-07-31,-1.25
2014-08-01,60.2532
2014-08-04,-18.6414
2014-08-05,-9.0615
2014-08-06,18.5053
2014-08-07,0.9009
2014-08-08,-3.5714
2014-08-11,-6.1728
2014-08-12,3.2895
2014-08-13,-3.5032
2014-08-14,-1.3201
2014-08-15,-0.6689
2014-08-18,1.0143
2014-08-19,-3.5164999999999997
2014-08-20,-2.2326
2014-08-21,2.8269
2014-08-22,-1.0309
2014-08-25,2.4306
2014-08-26,-1.3559
2014-08-27,-1.4990999999999999
2014-08-28,-0.3162
2014-08-29,-1.3059
2014-09-02,-3.1915
2014-09-03,0.3182
2014-09-04,0.4131
2014-09-05,4.3636
2014-09-08,-2.7875
2014-09-09,-1.4337
2014-09-10,-0.7273
2014-09-11,1.8315000000000001
2014-09-12,-2.1583
2014-09-15,-4.0441
2014-09-16,-2.2989
2014-09-17,-5.8824
2014-09-18,5.4167
2014-09-19,-2.2925
2014-09-22,-3.7217000000000002
2014-09-23,-6.3025
2014-09-24,2.2422
2014-09-25,4.1749
2014-09-26,-7.7968
2014-09-29,5.4795
2014-09-30,26.4069
2014-10-01,-19.1781
2014-10-02,5.9322
2014-10-03,-5.2
2014-10-06,7.8481
2014-10-07,-2.186
2014-10-08,1.4949
2014-10-09,-12.5123
