ticker,XFLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-11,52400.0
2013-06-12,-30.0
2013-06-14,0.0
2013-06-26,-29.5238
2013-06-27,1.3514
2013-06-28,-1.3333
2013-07-01,0.0
2013-07-09,34.4595
2013-07-10,-25.6281
2013-07-11,1.3514
2013-07-12,-13.3333
2013-07-15,17.6923
2013-07-16,-3.1373
2013-07-17,3.7618
2013-07-18,-2.4549
2013-07-19,0.0
2013-07-22,-1.3333
2013-07-23,1.3514
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,1.3333
2013-07-29,-1.3158
2013-07-30,-1.3333
2013-07-31,1.3514
2013-08-01,-1.3333
2013-08-02,1.3514
2013-08-05,-1.3333
2013-08-06,-12.1622
2013-08-07,10.7692
2013-08-08,4.1667
2013-08-09,0.0
2013-08-12,-2.6667
2013-08-14,2.7397
2013-08-15,-5.3333
2013-08-16,4.2254
2013-08-19,0.0
2013-08-20,-0.0253
2013-08-23,1.377
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,-0.6667
2013-08-30,0.6711
2013-09-03,0.0
2013-09-05,-1.3333
2013-09-06,0.0
2013-09-10,-2.7027
2013-09-11,-2.7778
2013-09-12,7.1429
2013-09-13,0.0
2013-09-17,0.0
2013-09-18,-6.6667
2013-09-19,4.2857
2013-09-20,0.0
2013-09-24,2.7397
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,-2.6667
2013-09-30,2.0548
2013-10-01,-2.0134
2013-10-02,1.3699
2013-10-03,-0.6757
2013-10-04,-2.0408
2013-10-07,0.0
2013-10-08,-4.1667
2013-10-09,0.0
2013-10-10,1.4493
2013-10-11,-1.4285999999999999
2013-10-14,0.0
2013-10-15,0.0
2013-10-17,-1.4493
2013-10-18,1.4706000000000001
2013-10-21,0.0
2013-10-22,-0.7246
2013-10-23,2.1898
2013-10-24,-1.3035999999999999
2013-10-25,1.3208
2013-10-29,-5.7143
2013-10-30,4.5455
2013-10-31,0.0
2013-11-04,1.4493
2013-11-06,2.8571
2013-11-07,-1.3889
2013-11-08,4.2254
2013-11-11,6.7568
2013-11-12,-3.7975
2013-11-13,1.3158
2013-11-14,-6.4935
2013-11-15,-2.7778
2013-11-18,4.2857
2013-11-19,0.6849
2013-11-20,-0.6803
2013-11-21,-2.7397
2013-11-22,1.4085
2013-11-25,-2.7778
2013-11-26,2.1429
2013-11-27,-3.7762000000000002
2013-11-29,1.7442
2013-12-02,9.2857
2013-12-03,-9.5261
