ticker,CBUIF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-01-15,0.0
2002-02-25,0.0
2002-03-05,0.0
2002-03-07,0.0
2002-04-10,0.0
2002-04-17,0.0
2002-04-29,0.0
2002-05-28,0.0
2002-09-20,0.0
2002-12-12,0.0
2002-12-23,0.0
2003-12-17,0.0
2004-03-16,0.0
2004-11-03,3900.0
2004-11-11,-97.5
2004-12-02,0.0
2005-01-31,0.0
2005-02-10,0.0
2007-04-05,0.0
2007-04-18,0.0
2007-05-08,700.0
2007-05-15,-87.5
2007-08-09,0.0
2007-09-25,0.0
2007-11-29,0.0
2008-01-16,0.0
2008-12-26,0.0
2008-12-30,0.0
2009-04-27,0.0
2009-06-09,0.0
2009-06-17,0.0
2009-07-09,0.0
2009-08-14,0.0
2009-09-18,0.0
2009-10-27,0.0
2009-10-29,0.0
2009-11-04,0.0
2009-11-09,0.0
2010-02-19,0.0
2010-04-09,0.0
2011-12-19,0.0
2013-01-17,700.0
2013-05-13,-87.5
2013-05-21,0.0
2013-06-18,0.0
2015-12-29,0.0
2017-01-05,0.0
2017-08-04,-20.0
2017-09-05,100.0
2017-10-18,0.0
2017-11-01,-99.5
2017-11-06,900.0
2017-12-28,-90.0
2018-06-22,9900.0
2018-06-29,0.0
2018-08-17,-90.0
2018-09-25,900.0
2018-10-04,-90.0
2018-10-30,900.0
2018-11-20,-99.0
2018-12-11,900.0
2018-12-13,900.0
2019-01-14,0.0
2019-01-22,-90.0
2019-02-01,900.0
2019-02-04,0.0
2019-03-26,-99.0
2019-03-27,0.0
2019-05-24,0.0
2019-06-06,0.0
2019-07-15,0.0
2019-09-17,0.0
2019-10-08,0.0
2019-12-30,0.0
2020-02-10,0.0
2020-07-31,0.0
