ticker,ACTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-17,8.1081
2002-12-18,-6.5
2002-12-19,0.5348
2002-12-20,1.5957
2002-12-23,-3.1414
2002-12-24,4.3243
2002-12-26,1.5544
2002-12-27,0.0
2002-12-30,0.0
2002-12-31,22.9592
2003-01-02,-9.1286
2003-01-03,-4.1096
2003-01-06,-0.4762
2003-01-07,-4.3062000000000005
2003-01-08,-3.0
2003-01-09,-2.0619
2003-01-10,3.1579
2003-01-13,-7.1429
2003-01-14,4.3956
2003-01-15,-10.526299999999999
2003-01-16,-0.5882
2003-01-17,-5.9172
2003-01-21,-10.0629
2003-01-22,-7.6923
2003-01-23,24.2424
2003-01-24,-12.1951
2003-01-27,-6.25
2003-01-28,1.4815
2003-01-29,2.9196999999999997
2003-01-30,8.5106
2003-01-31,3.9215999999999998
2003-02-03,-7.5472
2003-02-04,-2.7211
2003-02-05,4.1958
2003-02-06,-2.0134
2003-02-07,2.0548
2003-02-10,5.3690999999999995
2003-02-11,-14.6497
2003-02-12,-5.9701
2003-02-13,3.9683
2003-02-14,6.8702
2003-02-18,6.4286
2003-02-19,-8.7248
2003-02-20,6.6176
2003-02-21,-3.4483
2003-02-24,-2.1429
2003-02-25,-2.1898
2003-02-26,4.4776
2003-02-27,5.7143
2003-02-28,-12.1622
2003-03-03,4.6154
2003-03-04,-2.9412000000000003
2003-03-05,-7.5758
2003-03-06,-8.1967
2003-03-07,8.9286
2003-03-10,-11.4754
2003-03-11,-0.9259
2003-03-12,-5.6075
2003-03-13,7.9208
2003-03-14,11.0092
2003-03-17,9.9174
2003-03-18,2.2556
2003-03-19,-0.7353
2003-03-20,-13.3333
2003-03-21,8.547
2003-03-24,-7.0866
2003-03-25,5.0847
2003-03-26,-2.4194
2003-03-27,-0.8264
2003-03-28,0.0
2003-03-31,0.8333
2003-04-01,4.1322
2003-04-02,9.5238
2003-04-03,-10.0725
2003-04-04,-6.527
2003-04-07,1.7241
2003-04-08,0.0
2003-04-09,-2.5423999999999998
2003-04-10,-0.8696
2003-04-11,0.8772
2003-04-14,0.8696
2003-04-15,-9.4828
2003-04-16,7.619
2003-04-17,-2.6549
2003-04-21,5.4545
2003-04-22,0.0
2003-04-23,-1.7241
2003-04-24,0.0
2003-04-25,-2.6316
2003-04-28,-5.4054
2003-04-29,2.8571
2003-04-30,-3.7037
2003-05-01,2.8846
2003-05-02,4.6729
2003-05-05,-1.7856999999999998
2003-05-06,-3.6364
2003-05-07,31.1321
