ticker,SBRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-04-24,-12.1951
2002-04-25,11.6667
2002-04-26,16.915399999999998
2002-04-29,-6.383
2002-04-30,0.2273
2002-05-01,1.8141
2002-05-02,0.4454
2002-05-03,0.8869
2002-05-06,-0.2198
2002-05-07,0.0
2002-05-08,-0.4405
2002-05-10,-1.5487
2002-05-13,-4.9437999999999995
2002-05-14,0.4728
2002-05-15,-1.1764999999999999
2002-05-16,-4.7619
2002-05-17,-2.5
2002-05-20,0.0
2002-05-21,-2.5641
2002-05-24,5.2632
2002-05-28,-2.8125
2002-05-29,-1.2862
2002-05-30,-0.9772
2002-06-03,0.0
2002-06-07,1.3158
2002-06-10,-1.5584
2002-06-11,-4.7493
2002-06-12,-5.8172
2002-06-17,0.0
2002-06-18,0.0
2002-06-19,-4.4118
2002-06-24,-0.7692
2002-07-01,-0.7752
2002-07-02,0.0
2002-07-08,0.7813
2002-07-09,0.7752
2002-07-11,1.5385
2002-07-15,-3.0303
2002-07-18,-18.75
2002-07-19,3.8462
2002-07-22,-14.8148
2002-07-23,-0.7826
2002-07-26,2.9798
2002-08-01,-10.2128
2002-08-02,13.7441
2002-08-05,-4.1667
2002-08-07,-4.3478
2002-08-08,3.4091
2002-08-14,-11.6484
2002-08-15,-0.4975
2002-08-16,-10.0
2002-08-19,-0.8333
2002-08-21,-32.7731
2002-08-22,-1.6667
2002-08-23,10.1695
2002-08-26,-1.5385
2002-08-27,24.2188
2002-08-29,-6.9182
2002-08-30,-1.3514
2002-09-03,-3.4247
2002-09-05,-7.8014
2002-09-06,0.0
2002-09-09,-10.7692
2002-09-10,-7.7586
2002-09-11,7.4766
2002-09-12,1.7391
2002-09-13,0.0
2002-09-16,0.8547
2002-09-17,0.0
2002-09-18,-0.8475
2002-09-19,-3.4188
2002-09-26,-2.6549
2002-09-27,-4.5455
2002-09-30,0.9524
2002-10-01,0.0
2002-10-04,3.7736
2002-10-07,-2.5455
2002-10-08,-0.1866
2002-10-09,-2.8037
2002-10-10,2.1154
2002-10-11,-24.6704
2002-10-14,15.0
2002-10-16,-5.4348
2002-10-17,-10.3448
2002-10-18,-2.5641
2002-10-21,-1.3158
2002-10-22,0.0
2002-10-23,-4.0
2002-10-24,-1.3889
2002-10-25,-21.1268
2002-10-28,-3.5714
2002-10-29,-1.8519
2002-10-31,10.566
2002-11-01,0.0
2002-11-04,-11.2628
2002-11-06,0.0
2002-11-08,-3.8462
2002-11-11,0.0
2002-11-12,-2.0
