ticker,GPRC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-09,6025.0
2009-11-10,17.1429
2009-11-12,-13.6585
2009-11-13,-0.565
2009-11-16,0.0
2009-11-17,0.0
2009-11-18,-0.5682
2009-11-19,0.0
2009-11-20,14.2857
2009-11-24,-12.0
2009-11-25,0.0
2009-11-30,0.0
2009-12-01,5.1136
2009-12-02,0.0
2009-12-03,0.0
2009-12-04,-2.7027
2009-12-07,0.0
2009-12-08,3.3333
2009-12-09,-1.0753
2009-12-10,1.087
2009-12-11,1.0753
2009-12-14,-1.5957
2009-12-15,0.5405
2009-12-16,0.5376
2009-12-17,-1.0695000000000001
2009-12-18,8.1081
2009-12-21,-5.0063
2009-12-22,1.0593
2009-12-23,-2.6042
2009-12-24,1.6042999999999998
2009-12-28,18.4211
2009-12-29,15.5556
2009-12-30,9.6154
2009-12-31,10.526299999999999
2010-01-04,11.1111
2010-01-05,10.0
2010-01-06,6.2338000000000005
2010-01-07,13.6919
2010-01-08,-8.3871
2010-01-11,5.6338
2010-01-12,-1.1111
2010-01-13,3.3708
2010-01-14,1.087
2010-01-15,0.0
2010-01-19,-4.9462
2010-01-20,4.0724
2010-01-21,-6.087
2010-01-22,-2.7778
2010-01-25,0.0
2010-01-26,2.1429
2010-01-27,-2.0979
2010-01-28,2.3810000000000002
2010-01-29,-2.3256
2010-02-01,5.9524
2010-02-02,-1.1236
2010-02-03,-1.1364
2010-02-04,0.9195
2010-02-05,-1.139
2010-02-08,1.1521
2010-02-09,2.5057
2010-02-10,-2.2222
2010-02-11,-4.0909
2010-02-12,1.8957000000000002
2010-02-16,0.6977
2010-02-17,0.4619
2010-02-18,3.4483
2010-02-19,3.1111
2010-02-22,-5.1724
2010-02-23,1.1364
2010-02-24,0.0
2010-02-25,0.0
2010-02-26,0.4494
2010-03-01,0.6711
2010-03-02,6.6667
2010-03-03,-6.6667
2010-03-04,-4.0179
2010-03-05,5.814
2010-03-08,3.2967
2010-03-09,1.0638
2010-03-10,5.2632
2010-03-11,-4.0
2010-03-12,0.0
2010-03-15,-3.125
2010-03-16,0.0
2010-03-17,-1.0753
2010-03-18,3.2609
2010-03-19,2.9474
2010-03-22,-1.8405
2010-03-23,1.875
2010-03-24,-1.8405
2010-03-25,-1.0417
2010-03-26,3.1579
2010-03-29,0.0
2010-03-30,-1.4285999999999999
2010-03-31,1.4493
2010-04-01,-2.0408
2010-04-05,0.0
2010-04-06,-2.7083
2010-04-07,-1.4989
2010-04-08,-1.087
