ticker,XBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-11,33.3333
2014-01-03,7400.0
2014-01-24,-46.6667
2014-01-28,-21.875
2014-01-30,28.0
2014-01-31,12.5
2014-02-05,-22.2222
2014-02-07,35.7143
2014-02-10,0.0
2014-02-11,0.0
2014-02-14,-68.4211
2014-02-18,-8.3333
2014-02-20,-58.1818
2014-02-21,-13.0435
2014-02-24,25.0
2014-02-25,0.0
2014-02-26,0.0
2014-02-27,-12.0
2014-02-28,16.3636
2014-03-03,-2.3438
2014-03-04,0.0
2014-03-05,-2.4
2014-03-06,-13.9344
2014-03-07,9.5238
2014-03-10,8.6957
2014-03-11,0.0
2014-03-12,-12.0
2014-03-13,-5.4545
2014-03-14,0.9615
2014-03-17,5.7143
2014-03-18,-3.6036
2014-03-19,6.5421
2014-03-20,9.6491
2014-03-21,0.0
2014-03-24,-18.4
2014-03-25,0.0
2014-03-26,-1.9607999999999999
2014-03-27,0.0
2014-03-28,-5.0
2014-04-02,3.1579
2014-04-03,2.0408
2014-04-07,-4.0
2014-04-08,-1.0417
2014-04-09,-15.7895
2014-04-10,0.0
2014-04-14,6.25
2014-04-15,0.0
2014-04-17,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,-17.625
2014-04-24,14.2551
2014-04-25,2.5
2014-04-28,-18.2927
2014-04-29,4.4776
2014-04-30,14.2857
2014-05-05,-12.5
2014-05-06,7.1429
2014-05-16,-17.2
2014-05-19,-3.3816
2014-05-20,56.6667
2014-05-21,0.0
2014-05-22,-14.8936
2014-05-23,-6.25
2014-05-28,0.0
2014-05-29,6.6667
2014-06-03,0.0
2014-06-05,-25.0
2014-06-06,16.6667
2014-06-09,-7.1429
2014-06-10,-7.6923
2014-06-11,5.0
2014-06-12,7.9365
2014-06-13,-2.9412000000000003
2014-06-16,-54.5455
2014-06-19,183.3333
2014-06-20,0.0
2014-06-23,11.7647
2014-06-24,-0.0132
2014-06-25,-17.8839
2014-06-26,0.0
2014-06-30,-1.2821
2014-07-01,23.3523
2014-07-02,-25.13
2014-07-10,30.7787
2014-07-11,6.4516
2014-07-17,0.0
2014-07-23,-14.1414
2014-07-29,-39.9853
2014-08-01,39.1816
2014-08-04,5.6338
2014-08-05,13.3083
2014-08-06,0.0
2014-08-07,0.0221
2014-08-08,16.4706
2014-08-11,-24.2045
2014-08-18,15.9254
2014-08-20,-39.6465
2014-08-21,61.881
2014-08-22,-17.634900000000002
2014-08-25,7.1429
2014-08-26,-6.6667
