ticker,SCVL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8634
2000-01-04,-5.0633
2000-01-05,0.6667
2000-01-06,-21.1921
2000-01-07,10.9244
2000-01-10,-1.5152
2000-01-11,3.8462
2000-01-12,1.4815
2000-01-13,0.7299
2000-01-14,2.1739
2000-01-18,-2.1277
2000-01-19,-2.5362
2000-01-20,-3.3457
2000-01-21,1.5385
2000-01-24,0.0
2000-01-25,3.7879
2000-01-26,-3.6496
2000-01-27,-3.0303
2000-01-28,-0.7812
2000-01-31,1.9685000000000001
2000-02-01,-4.2471
2000-02-02,-4.8387
2000-02-03,9.322
2000-02-04,3.876
2000-02-07,5.2239
2000-02-08,3.5461
2000-02-09,0.6849
2000-02-10,-2.0408
2000-02-11,-0.6944
2000-02-14,2.0979
2000-02-15,-2.0548
2000-02-16,0.6993
2000-02-17,-0.6944
2000-02-18,0.6993
2000-02-22,-2.7778
2000-02-23,-0.7143
2000-02-24,-2.1583
2000-02-25,1.4706000000000001
2000-02-28,0.7246
2000-02-29,-0.7194
2000-03-01,-1.4493
2000-03-02,3.6765
2000-03-03,-0.7092
2000-03-06,-2.8571
2000-03-07,0.7353
2000-03-08,-1.4599
2000-03-09,1.1111
2000-03-10,-1.0989
2000-03-13,0.7407
2000-03-14,5.5147
2000-03-15,1.7422
2000-03-16,2.7397
2000-03-17,6.6667
2000-03-20,-2.5
2000-03-21,1.9231
2000-03-22,-3.1447
2000-03-23,-3.8961
2000-03-24,2.7027
2000-03-27,-4.6053
2000-03-28,-0.6897
2000-03-29,-3.4722
2000-03-30,5.036
2000-03-31,1.3699
2000-04-03,4.0541
2000-04-04,-2.5974
2000-04-05,6.6667
2000-04-06,10.0
2000-04-07,19.3182
2000-04-10,-7.619
2000-04-11,-0.5155
2000-04-12,-1.5544
2000-04-13,-6.3158
2000-04-14,-8.9888
2000-04-17,-1.8519
2000-04-18,8.1761
2000-04-19,0.0
2000-04-20,-1.1628
2000-04-24,-5.2941
2000-04-25,-1.8634
2000-04-26,1.8987
2000-04-27,-0.6211
2000-04-28,-2.5
2000-05-01,-3.5256
2000-05-02,-15.6146
2000-05-03,-14.9606
2000-05-04,-1.8519
2000-05-05,0.9434
2000-05-08,0.0
2000-05-09,4.6729
2000-05-10,2.6786
2000-05-11,2.6087
2000-05-12,0.4237
2000-05-15,3.7975
2000-05-16,0.0
2000-05-17,-1.2195
2000-05-18,-0.2058
2000-05-19,-0.2062
2000-05-22,0.4132
2000-05-23,1.2346
