ticker,IFAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-30,50.0
2007-10-24,0.0
2007-10-25,2.6667
2007-10-26,0.0
2007-10-30,-10.3896
2007-11-02,-5.0725
2007-11-13,-6.8702
2007-11-14,44.2623
2007-11-19,-30.6818
2007-11-26,6.5574
2007-12-26,-4.6154
2008-01-08,-2.4194
2008-01-10,-0.8264
2008-02-14,0.0
2008-02-20,-3.3333
2008-03-12,-12.069
2008-03-18,-37.2549
2008-03-31,50.0
2008-04-01,-27.0833
2008-04-02,0.0
2008-04-03,0.0
2008-04-04,2.8571
2008-04-07,-2.7778
2008-04-08,0.0
2008-04-09,0.0
2008-04-11,-2.8571
2008-04-14,8.8235
2008-04-15,0.0
2008-04-16,-8.1081
2008-04-21,-11.7647
2008-04-22,-6.6667
2008-04-23,0.0
2008-04-24,0.0
2008-04-28,0.0
2008-04-30,-10.7143
2008-05-01,0.0
2008-05-05,0.0
2008-05-08,-0.2
2008-05-09,8.2164
2008-05-13,29.6296
2008-05-14,8.5714
2008-05-15,18.4211
2008-05-16,0.0
2008-05-19,2.2222
2008-05-20,0.0
2008-05-21,2.1739
2008-05-22,-14.8936
2008-05-23,20.0
2008-05-27,4.1667
2008-05-28,0.0
2008-05-29,4.0
2008-05-30,-1.9231
2008-06-02,-1.9607999999999999
2008-06-03,2.0
2008-06-04,-1.9607999999999999
2008-06-05,10.0
2008-06-06,-5.4545
2008-06-09,-3.8462
2008-06-10,0.0
2008-06-11,12.0
2008-06-12,7.1429
2008-06-13,0.0
2008-06-17,-6.6667
2008-06-18,16.0714
2008-06-19,0.0
2008-06-20,-7.6923
2008-06-23,-13.3333
2008-06-24,15.3846
2008-06-25,0.0
2008-06-26,3.3333
2008-06-27,4.8387
2008-06-30,0.0
2008-07-01,0.0
2008-07-02,0.0
2008-07-03,-7.6923
2008-07-07,0.0
2008-07-08,-3.3333
2008-07-09,12.069
2008-07-10,-9.2308
2008-07-11,-3.3898
2008-07-17,-5.2632
2008-07-18,1.8519
2008-07-21,0.0
2008-07-22,-5.4545
2008-07-24,5.7692
2008-07-25,0.0
2008-07-29,-1.8182
2008-08-04,0.0
2008-08-05,-7.4074
2008-08-06,8.0
2008-08-07,-14.8148
2008-08-12,8.6957
2008-08-13,10.0
2008-08-14,-5.4545
2008-08-15,0.0
2008-08-18,-1.9231
2008-08-19,4.5098
2008-08-20,-9.9437
2008-08-21,4.1667
2008-08-25,0.0
2008-08-26,4.0
2008-08-27,3.8462
