ticker,SEIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-09-29,-99.95
2000-11-16,700.0
2002-01-08,-87.5
2002-03-19,0.0
2003-03-17,0.0
2003-11-14,700.0
2004-01-15,900.0
2004-02-02,-98.75
2004-05-07,0.0
2004-05-21,79900.0
2004-07-13,-50.0
2004-07-28,-99.75
2004-11-22,0.0
2006-10-16,0.0
2007-03-26,0.0
2007-04-02,0.0
2007-06-22,2300.0
2007-07-09,0.0
2007-07-23,0.0
2007-08-27,0.0
2007-10-11,0.0
2007-10-22,0.0
2007-12-03,0.0
2007-12-07,66.6667
2008-01-08,0.0
2008-02-26,5900.0
2008-07-28,-96.0
2008-07-30,0.0
2008-07-31,733.3333
2008-08-01,-88.0
2008-08-29,733.3333
2008-09-09,-99.0
2008-09-10,0.0
2008-10-08,0.0
2008-10-24,0.0
2008-12-22,18.75
2009-04-03,-5.2632
2009-06-08,0.0
2009-07-30,0.0
2009-08-07,0.0
2009-09-21,5.5556
2009-09-29,8321.0526
2009-09-30,-98.6875
2009-10-12,0.0
2009-10-27,0.0
2009-11-05,0.0
2009-11-19,0.0
2009-12-08,0.0
2009-12-23,-9.5238
2010-03-19,0.0
2010-07-23,0.0
2010-09-01,10.526299999999999
2010-11-01,0.0
2010-12-03,0.0
2010-12-15,0.0
2010-12-31,0.0
2011-05-20,0.0
2011-05-23,0.0
2011-06-22,0.0
2011-07-11,23.8095
2011-10-21,0.0
2011-11-16,0.0
2012-04-05,0.0
2012-07-23,0.0
2012-12-11,-38.4615
2012-12-12,-68.75
2014-03-05,6300.0
2014-03-07,150.0
2014-04-24,-70.0
2014-07-03,0.0
2014-08-06,0.0
2014-09-24,0.0
2014-12-18,566.6667
2015-04-22,-85.0
2015-05-20,0.0
2015-08-06,0.0
2016-03-22,53.3333
2016-03-23,-13.0435
2016-03-31,150.0
2016-04-26,0.0
2016-05-10,-70.0
2016-06-24,233.3333
2016-08-10,-70.0
2016-08-24,-33.3333
2016-09-07,40.0
2016-10-28,-57.1429
2016-12-20,0.0
2017-01-10,0.0
2017-02-13,2400.0
2017-02-21,-96.0
2017-02-27,2400.0
2017-03-10,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,353.3333
2017-03-24,25.0
2017-03-27,-99.8676
2017-03-28,788.8889
2017-04-10,500.0
2017-04-18,-30.0
2017-04-24,39.5833
2017-04-25,-1.0661
2017-04-26,-10.3448
2017-04-27,0.0
2017-04-28,34.6154
2017-05-01,-25.7143
2017-05-03,32.6923
2017-05-04,-24.6377
2017-05-05,32.6923
2017-05-08,-5.7971
2017-05-11,-26.1538
2017-05-12,-16.6667
2017-05-15,0.0
2017-05-17,0.0
2017-05-18,-5.0
2017-05-19,-21.0526
2017-05-23,0.0
2017-05-24,-33.3333
2017-06-06,50.0
2017-06-19,-30.0
2017-08-09,-4.7619
2017-08-15,0.0
2017-09-01,0.0
2017-10-27,-4.0
2017-11-16,-6.25
2017-11-27,-16.6667
2018-01-03,-33.3333
2018-02-01,0.0
2018-03-22,0.0
2018-03-26,0.0
2018-05-09,0.0
2018-08-24,0.0
2018-09-25,0.0
2018-10-05,0.0
2019-05-14,0.5
