ticker,AAPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-27,0.0
2007-07-30,0.0
2007-08-01,0.0
2007-08-02,0.0
2007-08-03,0.0
2007-08-06,0.0
2007-08-07,0.0
2007-08-09,-66.6667
2007-08-10,166.6667
2007-08-14,-62.5
2007-08-15,33.3333
2007-08-20,-32.5
2007-08-21,30.0
2007-08-28,-14.5299
2007-09-06,0.0
2007-09-24,0.0
2007-09-26,0.0
2007-09-27,-16.6667
2007-09-28,-4.0
2007-10-11,0.0
2007-10-12,4.1667
2007-10-15,0.0
2007-10-16,-20.0
2007-10-17,25.0
2007-10-18,4.0
2007-10-19,15.3846
2007-10-22,0.0
2007-10-23,0.0
2007-10-24,-10.0
2007-10-26,-11.1111
2007-10-29,4.1667
2007-10-30,0.0
2007-10-31,40.0
2007-11-02,-20.0
2007-11-05,-10.7143
2007-11-06,-4.0
2007-11-07,-4.1667
2007-11-08,-8.6957
2007-11-09,4.7619
2007-11-12,-4.5455
2007-11-13,-9.5238
2007-11-14,5.2632
2007-11-15,5.0
2007-11-16,-4.7619
2007-11-19,0.0
2007-11-20,-45.0
2007-11-23,36.3636
2007-11-30,33.3333
2007-12-03,-25.0
2007-12-06,26.6667
2007-12-07,0.0
2007-12-10,5.2632
2007-12-11,-10.0
2007-12-12,-16.6667
2007-12-14,6.6667
2007-12-17,0.0
2007-12-19,25.0
2007-12-21,-17.5
2007-12-28,-9.0909
2007-12-31,33.3333
2008-01-07,-10.0
2008-01-08,0.0
2008-01-17,0.0
2008-01-18,0.0
2008-01-23,-16.6667
2008-02-04,20.0
2008-02-21,0.0
2008-02-27,-66.6667
2008-02-29,200.0
2008-03-03,-5.5556
2008-03-04,-41.1765
2008-03-12,0.0
2008-03-20,-40.0
2008-04-08,66.6667
2008-04-09,-20.0
2008-04-25,50.0
2008-04-28,4.1667
2008-04-29,-20.0
2008-04-30,25.0
2008-05-05,-44.0
2008-05-09,-14.2857
2008-05-13,-16.6667
2008-05-15,-40.0
2008-05-16,100.0
2008-05-19,-33.3333
2008-05-21,150.0
2008-05-22,-70.0
2008-05-27,33.3333
2008-05-28,75.0
2008-05-29,0.0
2008-06-03,-28.5714
2008-06-05,-20.0
2008-06-11,25.0
2008-06-12,0.0
2008-06-18,0.0
2008-06-20,-60.0
2008-06-24,50.0
2008-06-25,0.0
2008-06-26,0.0
2008-06-27,0.0
2008-07-02,33.3333
2008-07-08,-62.5
2008-07-09,33.3333
2008-07-10,0.0
2008-07-11,-25.0
