ticker,PNLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-04,7.8431
2010-04-12,0.0
2010-04-15,-12.7273
2010-04-19,6.25
2010-04-20,-60.7843
2010-04-27,-25.0
2010-04-30,240.0
2010-05-03,-70.5882
2010-05-28,266.6667
2010-06-02,-54.5455
2010-06-08,0.0
2010-06-23,-59.6
2010-06-24,0.0
2010-06-28,444.5545
2010-06-29,-81.6364
2010-06-30,0.0
2010-07-20,0.0
2010-08-25,18.8119
2010-08-27,0.0
2011-02-28,233.3333
2011-03-21,-62.5
2011-08-04,0.0
2011-08-26,-53.3333
2011-08-31,42.8571
2011-10-10,-40.0
2011-10-12,-81.6667
2011-10-14,0.0
2011-10-27,1627.2727
2011-10-28,-47.3684
2011-12-29,-20.0
2012-03-05,25.0
2012-03-20,0.0
2012-04-03,-30.0
2012-05-07,0.0
2012-05-08,-57.1429
2012-05-16,0.0
2012-08-07,0.0
2012-08-23,-33.3333
2012-09-28,-50.0
2015-12-03,298.75
2015-12-04,-23.9812
2016-02-01,97.9381
2016-02-08,-41.6667
2016-04-19,11.25
2016-04-20,-1.2841
2016-05-24,-6.0163
2016-08-26,-3.1142
2016-12-13,-14.2857
2016-12-15,0.0
2016-12-23,0.0
2016-12-30,-12.9167
2017-01-30,-4.3062000000000005
2017-01-31,0.0
2017-02-01,0.0
2017-06-08,23.0
2017-07-21,0.0
2017-08-15,62.6016
2018-01-19,0.0
2018-03-16,-50.0
2019-03-19,20.0
2019-03-29,-33.3333
2019-05-23,0.0
2019-08-13,15.0
2019-09-30,-13.0435
2020-01-14,50.0
2020-01-15,-16.6667
2020-02-21,60.0
2020-03-18,-50.0
2020-04-15,150.0
2020-04-16,0.0
2020-04-17,-16.0
2020-04-30,-5.0
2020-05-13,0.2506
