ticker,BKSLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-20,1.2037
2012-07-23,-0.5489
2012-08-03,0.0
2012-08-10,-6.1638
2012-08-22,-11.7647
2012-09-04,53.7778
2012-09-05,1.0838
2012-09-07,20.3002
2012-09-11,-0.6536
2012-09-12,-2.9306
2012-09-13,-4.4978
2012-09-18,6.2097
2012-09-19,-2.4601
2012-09-21,-1.4168
2012-09-25,2.59
2012-09-27,7.1429
2012-09-28,-7.4138
2012-10-01,2.7933
2012-10-04,-1.3285
2012-10-05,-0.7344
2012-10-10,-0.1233
2012-10-12,2.4074
2012-10-15,0.0603
2012-10-16,-3.012
2012-10-22,-4.6584
2012-10-23,-2.9316
2012-10-24,0.2013
2012-10-25,4.0857
2012-11-02,3.9897
2012-11-05,-0.3713
2012-11-06,6.7081
2012-11-07,-0.2328
2012-11-09,-3.9236
2012-11-12,-2.8388999999999998
2012-11-13,-1.0
2012-11-15,-0.2525
2012-11-16,-1.2658
2012-11-20,4.4872
2012-11-21,-2.3926
2012-11-23,-5.0911
2012-12-04,-0.9272
2012-12-05,-3.9439
2012-12-07,7.4287
2012-12-10,0.4049
2012-12-11,-6.75
2012-12-12,0.0951
2012-12-13,1.6071
2012-12-20,3.6565
2012-12-28,1.854
2013-01-03,-0.5155
2013-01-04,7.1244
2013-01-08,-0.4232
2013-01-11,-0.4857
2013-01-14,3.1955
2013-01-15,-2.4462
2013-01-18,1.5606
2013-01-23,-4.9978
2013-01-24,-1.9472
2013-01-25,-2.8346999999999998
2013-01-28,0.0824
2013-01-30,-1.2105
2013-02-07,3.3592
2013-02-08,-4.3065
2013-02-11,0.927
2013-02-12,-3.674
2013-02-13,-0.1387
2013-02-14,-0.5122
2013-02-19,-3.0451
2013-02-20,-3.3387000000000002
2013-02-21,-0.1955
2013-02-22,-0.2799
2013-02-27,-7.1282
2013-03-01,-3.9182
2013-03-04,3.4909
2013-03-07,11.8314
2013-03-08,-0.0181
2013-03-11,1.0328
2013-03-12,-0.3049
2013-03-13,-1.583
2013-03-14,1.9649
2013-03-18,-6.9553
2013-03-19,0.0289
2013-03-20,-0.3852
2013-04-03,-5.0851
2013-04-05,9.0548
2013-04-09,-4.0161
2013-04-11,5.8675
2013-04-12,-5.3676
2013-04-15,-6.6628
2013-04-16,4.6722
2013-04-17,-5.1993
2013-04-18,2.349
2013-04-19,2.8074
2013-04-24,9.0692
2013-04-29,-10.8187
2013-04-30,-1.4754
2013-05-02,-2.1319
2013-05-06,2.1783
