ticker,GWGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-25,5.2
2014-09-26,-10.6464
2014-09-29,-10.6383
2014-09-30,-2.3810000000000002
2014-10-01,-1.4634
2014-10-02,-3.4653
2014-10-03,-0.1026
2014-10-06,-11.3963
2014-10-07,-3.5921
2014-10-08,8.1731
2014-10-09,-1.9889000000000001
2014-10-10,2.0292
2014-10-13,1.0
2014-10-14,-3.7404
2014-10-15,2.0357
2014-10-16,0.4242
2014-10-17,-2.9486
2014-10-20,-2.3171
2014-10-21,1.5293999999999999
2014-10-22,1.854
2014-10-23,1.2514
2014-10-24,1.6854
2014-10-27,0.0
2014-10-28,-3.5359
2014-10-29,-0.4582
2014-10-30,4.2017
2014-10-31,0.1629
2014-11-04,0.1116
2014-11-05,-1.9824000000000002
2014-11-06,1.6854
2014-11-07,1.105
2014-11-10,0.4358
2014-11-11,0.5454
2014-11-12,0.0
2014-11-13,-0.2165
2014-11-14,-0.9761
2014-11-17,0.5476
2014-11-18,-0.3268
2014-11-19,-1.0929
2014-11-20,0.9945
2014-11-21,0.4376
2014-11-24,-1.8519
2014-11-25,-0.111
2014-11-26,0.4444
2014-11-28,-1.8805
2014-12-01,-7.5536
2014-12-02,3.6585
2014-12-03,0.0015
2014-12-04,4.1161
2014-12-05,2.7119
2014-12-08,0.44
2014-12-09,0.2191
2014-12-10,0.9836
2014-12-11,0.1082
2014-12-12,-1.6216
2014-12-15,1.3187
2014-12-16,-2.7115
2014-12-17,-2.4526
2014-12-18,2.8571
2014-12-19,-11.1111
2014-12-22,1.375
2014-12-23,0.0015
2014-12-24,-0.8647
2014-12-26,0.761
2014-12-29,-1.249
2014-12-30,-0.25
2014-12-31,-15.2882
2015-01-02,14.497
2015-01-05,-11.7571
2015-01-06,2.489
2015-01-07,0.0
2015-01-09,-0.0018
2015-01-12,4.4206
2015-01-13,-3.5477
2015-01-14,-7.8014
2015-01-16,3.5385
2015-01-20,-10.104
2015-01-21,14.5651
2015-01-22,-6.221
2015-01-23,0.0
2015-01-29,3.0769
2015-01-30,0.0
2015-02-02,0.0
2015-02-04,0.0
2015-02-06,-2.9851
2015-02-09,6.0
2015-02-10,-3.6284
2015-02-13,0.0301
2015-02-17,12.9178
2015-02-18,2.3983
2015-02-19,10.6789
2015-02-20,-1.1176
2015-02-23,-1.8441
2015-02-24,-3.1515
2015-02-25,2.8786
2015-02-26,0.1217
2015-02-27,-0.1215
2015-03-02,-0.7299
2015-03-03,-1.9607999999999999
