ticker,PTAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-03,0.0
2010-06-07,9.0909
2010-12-02,3500.0
2011-01-11,-37.037
2011-01-12,0.0
2011-02-03,17.647100000000002
2011-02-11,10.0
2011-03-03,36.3636
2011-03-17,70.0
2011-03-30,5.8824
2011-04-08,3.7037
2011-04-27,30.3571
2011-05-03,-1.3699
2011-05-05,25.0
2011-05-06,0.0
2011-05-09,0.0
2011-05-11,-10.0
2011-05-12,11.1111
2011-05-16,1.1111
2011-05-17,2.1978
2011-05-23,4.3011
2011-05-24,-3.0928
2011-05-25,4.242
2011-05-26,-6.1105
2011-06-02,0.0
2011-06-10,6.5082
2011-06-13,0.0
2011-06-15,0.0
2011-06-27,-5.0899
2011-06-29,0.0
2011-06-30,5.3629
2011-07-05,0.0
2011-07-06,-5.0899
2011-07-07,4.3011
2011-07-13,0.0
2011-07-25,-11.3402
2011-07-28,2.3256
2011-07-29,0.0
2011-08-03,0.0
2011-08-08,7.9545
2011-08-09,0.0
2011-08-10,0.0
2011-08-15,-6.3158
2011-08-16,-2.2472
2011-08-18,1.1494
2011-08-24,-1.1364
2011-08-25,0.5747
2011-08-29,0.0
2011-08-30,13.1429
2011-08-31,-12.1212
2011-09-02,1.1494
2011-09-07,-1.1364
2011-09-09,1.1494
2011-09-14,1.1364
2011-09-16,10.1124
2011-09-20,-3.0612
2011-09-23,-6.3158
2011-09-26,-2.2472
2011-09-27,8.046
2011-10-11,0.0
2011-10-21,-1.0638
2011-11-25,1.0753
2011-11-28,1.0638
2011-12-02,1.0526
2011-12-09,0.0
2011-12-16,-6.25
2011-12-19,6.6667
2011-12-23,0.0
2011-12-27,0.0
2012-01-03,-4.1667
2012-01-04,0.0
2012-01-10,4.3478
2012-01-13,-4.1667
2012-01-17,-4.3478
2012-02-24,0.0
2012-03-06,9.0909
2012-03-21,-9.375
2012-03-22,2.2989
2012-04-05,-2.2472
2012-04-10,2.2989
2012-04-11,0.0
2012-04-12,0.0
2012-04-18,4.4944
2012-04-19,4.3011
2012-04-20,1.0309
2012-04-23,-10.2041
2012-04-24,5.1136
2012-04-25,3.7838000000000003
2012-04-26,-2.0833
2012-04-27,-1.0638
2012-04-30,-2.1505
2012-05-01,1.0989
2012-05-02,4.3478
2012-05-03,4.1667
2012-05-04,1.0
2012-05-07,-15.8292
2012-05-08,-35.5389
2012-05-09,-17.8832
2012-05-10,11.1111
2012-05-11,1.6
2012-05-14,-7.4803
2012-05-15,-4.0426
