ticker,MXL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-24,33.5714
2010-03-25,-3.5294
2010-03-26,3.2151
2010-03-29,0.4296
2010-03-30,-2.4064
2010-03-31,-2.5644
2010-04-01,-0.5174
2010-04-05,-3.2222
2010-04-06,0.1752
2010-04-07,0.1749
2010-04-08,-1.0477
2010-04-09,1.3529
2010-04-12,-0.6384
2010-04-13,-1.2266
2010-04-14,4.1396
2010-04-15,3.2368
2010-04-16,-1.0451
2010-04-19,-2.4458
2010-04-20,2.0513
2010-04-21,-3.0151
2010-04-22,-1.612
2010-04-23,0.0585
2010-04-26,2.3392
2010-04-27,-1.7713999999999999
2010-04-28,-0.7563
2010-04-29,-0.4689
2010-04-30,-0.4711
2010-05-03,2.5444
2010-05-04,0.1731
2010-05-05,-1.0945
2010-05-06,-8.270199999999999
2010-05-07,-2.7937
2010-05-10,8.2952
2010-05-11,-1.5682
2010-05-12,-4.5956
2010-05-13,3.404
2010-05-14,-2.2981
2010-05-17,5.0858
2010-05-18,-3.2063
2010-05-19,2.1875
2010-05-20,-5.3211
2010-05-21,-0.5168
2010-05-24,0.0649
2010-05-25,-3.3744
2010-05-26,0.4701
2010-05-27,4.3449
2010-05-28,2.3703
2010-06-01,-2.4406
2010-06-02,-0.5773
2010-06-03,2.9677
2010-06-04,-6.015
2010-06-07,-2.3333
2010-06-08,-6.5529
2010-06-09,2.2644
2010-06-10,1.4285999999999999
2010-06-11,5.9155
2010-06-14,-4.1888
2010-06-15,2.2901
2010-06-16,7.5984
2010-06-17,1.5131999999999999
2010-06-18,-2.1118
2010-06-21,-1.7132
2010-06-22,-1.4203000000000001
2010-06-23,3.9948
2010-06-24,-1.0076
2010-06-25,-3.4351
2010-06-28,1.1858
2010-06-29,-6.25
2010-06-30,-2.9167
2010-07-01,-5.0072
2010-07-02,-0.6024
2010-07-06,0.4545
2010-07-07,2.3379
2010-07-08,0.2211
2010-07-09,5.5882
2010-07-12,-1.3928
2010-07-13,0.6356
2010-07-14,-2.4561
2010-07-15,-3.3094
2010-07-16,-4.3155
2010-07-19,4.0435
2010-07-20,-0.9716
2010-07-21,0.8302
2010-07-22,1.7964
2010-07-23,0.2206
2010-07-26,0.5136
2010-07-27,-0.5109
2010-07-28,0.0
2010-07-29,-9.2443
2010-07-30,1.1318
2010-08-02,-1.279
2010-08-03,-4.2105
2010-08-04,-0.3381
2010-08-05,-2.6292999999999997
2010-08-06,-4.1812
2010-08-09,-1.6364
2010-08-10,-5.3604
