ticker,SIMA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3438
2000-01-10,80.0
2000-01-11,0.0
2000-01-12,0.0
2000-01-18,-38.8889
2000-01-21,0.0
2000-02-04,63.6364
2000-02-07,0.0
2000-02-08,55.5556
2000-02-09,7.1429
2000-02-10,6.6667
2000-02-11,18.75
2000-02-14,5.2632
2000-02-15,-15.0
2000-02-16,-5.8824
2000-02-17,-6.25
2000-02-22,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,0.0
2000-02-29,20.0
2000-03-02,0.0
2000-03-03,-5.5556
2000-03-06,-5.8824
2000-03-07,6.25
2000-03-08,17.647100000000002
2000-03-09,45.0
2000-03-10,-3.4483
2000-03-13,-3.5714
2000-03-14,-11.1111
2000-03-15,4.1667
2000-03-17,8.0
2000-03-20,-18.5185
2000-03-21,22.7273
2000-03-22,-18.5185
2000-03-23,9.0909
2000-03-24,-8.3333
2000-03-27,18.1818
2000-03-28,-15.3846
2000-03-30,22.7273
2000-03-31,0.0
2000-04-03,-11.1111
2000-04-04,-25.0
2000-04-06,38.8889
2000-04-12,0.0
2000-04-13,-32.0
2000-04-14,17.647100000000002
2000-04-17,-17.5
2000-04-18,45.4545
2000-04-20,0.0
2000-04-24,-8.3333
2000-04-25,0.0
2000-04-28,-36.3636
2000-05-01,14.2857
2000-05-04,18.75
2000-05-05,31.5789
2000-05-08,-12.0
2000-05-09,0.0
2000-05-12,4.5455
2000-05-17,0.0
2000-05-22,-21.7391
2000-05-23,16.6667
2000-05-24,-14.2857
2000-05-26,-11.1111
2000-05-30,6.25
2000-06-02,29.4118
2000-06-08,-27.2727
2000-06-12,-6.25
2000-06-13,-6.6667
2000-06-14,0.0
2000-06-15,-7.1429
2000-06-21,7.6923
2000-06-26,7.1429
2000-06-28,6.6667
2000-06-29,6.25
2000-06-30,-4.9412
2000-07-03,2.104
2000-07-06,-15.1515
2000-07-25,-14.2857
2000-07-26,16.6667
2000-08-03,13.1429
2000-08-08,-24.2424
2000-08-14,66.6667
2000-08-16,-5.0
2000-08-17,-13.1579
2000-08-21,0.0
2000-08-23,-27.2727
2000-08-31,66.6667
2000-09-01,0.0
2000-09-05,0.0
2000-09-06,0.0
2000-09-07,-10.0
2000-09-08,11.1111
2000-09-11,0.0
2000-09-12,0.0
2000-09-18,0.0
2000-09-19,-10.0
2000-09-22,11.1111
2000-09-26,-35.0
2000-09-27,0.0
2000-09-28,15.3846
2000-10-02,-6.6667
2000-10-03,10.7143
