ticker,LENSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-01-29,-18.5
2015-01-30,-20.1227
2015-02-02,4.3011
2015-02-03,-3.3872999999999998
2015-02-04,-3.3537
2015-02-05,5.836
2015-02-06,1.7884
2015-02-09,-0.7321
2015-02-10,-3.0236
2015-02-11,0.8365
2015-02-12,0.6033
2015-02-13,-10.045
2015-02-17,10.0
2015-02-18,-0.7576
2015-02-19,8.2443
2015-02-20,0.4937
2015-02-23,-3.8596
2015-02-24,-2.0438
2015-02-25,4.4709
2015-02-26,-0.1427
2015-02-27,-0.2857
2015-03-02,0.2865
2015-03-03,-2.5714
2015-03-04,-0.8798
2015-03-05,9.3195
2015-03-06,-0.6377
2015-03-09,3.2293
2015-03-10,14.5119
2015-03-11,-3.1106
2015-03-12,2.1403
2015-03-13,-4.5402000000000005
2015-03-16,5.2439
2015-03-17,0.5794
2015-03-18,0.1152
2015-03-19,-1.9563000000000001
2015-03-20,-3.0516
2015-03-23,-1.3317
2015-03-24,1.227
2015-03-25,-9.697
2015-03-26,-7.7852
2015-03-27,9.3159
2015-03-30,1.7309999999999999
2015-03-31,-3.2723
2015-04-01,0.6766
2015-04-02,1.4785
2015-04-06,4.3709
2015-04-07,-0.5076
2015-04-08,-7.2704
2015-04-09,2.3384
2015-04-10,1.2097
2015-04-13,4.5153
2015-04-14,0.8895
2015-04-15,-3.0227
2015-04-16,-1.6883
2015-04-17,0.3963
2015-04-20,-1.1842
2015-04-21,-1.8641999999999999
2015-04-22,8.5482
2015-04-24,-7.75
2015-04-27,3.794
2015-04-28,4.6997
2015-04-29,-2.7431
2015-04-30,2.4359
2015-05-01,0.8761
2015-05-05,0.4963
2015-05-06,1.2346
2015-05-07,7.5122
2015-05-08,0.2722
2015-05-11,0.905
2015-05-12,0.3363
2015-05-13,0.1117
2015-05-14,0.4464
2015-05-15,-2.3333
2015-05-18,-3.2992
2015-05-19,1.1764999999999999
2015-05-20,-0.814
2015-05-21,-0.2345
2015-05-22,2.7027
2015-05-26,-2.6316
2015-05-27,-3.6428000000000003
2015-05-28,3.0488
2015-05-29,-2.7218999999999998
2015-06-01,2.5547
2015-06-02,2.9656000000000002
2015-06-03,-5.53
2015-06-04,6.9512
2015-06-05,-1.8244
2015-06-08,-3.6005000000000003
2015-06-09,3.7349
2015-06-10,-0.466
2015-06-11,-0.8154
2015-06-12,-2.3529
2015-06-15,2.0339
2015-06-16,-5.6538
2015-06-17,4.6324
2015-06-18,-1.1976
2015-06-19,6.5375
