ticker,CCHXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-02-26,0.0
2001-05-03,-9.7872
2001-10-22,-27.8302
2001-10-29,6.2092
2001-11-06,14.461500000000001
2001-12-10,3.4946
2002-01-08,32.4675
2002-01-09,-0.7843
2002-01-10,-0.6324
2002-01-11,0.8353
2002-01-14,-0.9862
2002-01-16,1.5936
2002-01-17,-4.3137
2002-01-25,2.459
2002-02-01,-4.7
2002-02-04,4.0923
2002-02-07,-0.3024
2002-02-08,0.3033
2002-02-11,1.1694
2002-02-21,-0.7573
2002-02-27,-4.7189
2002-03-01,0.9484
2002-03-04,0.2088
2002-03-25,-8.3333
2002-04-01,-5.6818
2002-04-25,1.6867
2002-04-29,2.6066000000000003
2002-08-09,-84.2956
2002-08-23,-26.4706
2002-10-25,-49.0
2002-11-18,-13.7255
2002-11-22,20.4545
2002-12-30,-16.9811
2003-06-12,495.4545
2003-06-19,-5.1908
2003-08-20,28.0193
2003-08-25,33.9623
2003-08-27,13.615
2003-08-28,16.5289
2003-08-29,5.6738
2003-09-02,1.6779
2003-09-03,-5.6106
2003-09-04,3.8462
2003-09-05,-5.3872
2003-09-08,-0.8897
2003-09-09,-7.3609
2003-09-10,-4.2636
2003-09-11,12.9555
2003-09-12,3.2258
2003-09-15,-2.2569
2003-09-16,10.4796
2003-09-17,5.1447
2003-09-18,-2.9052
2003-09-19,3.9370000000000003
2003-09-22,0.303
2003-09-23,-5.5891
2003-09-24,2.4
2003-09-25,-4.1875
2003-09-26,-2.4788
2003-09-29,2.6756
2003-09-30,-0.9772
2003-10-01,1.6447
2003-10-03,0.8091
2003-10-06,-0.321
2003-10-07,-0.6441
2003-10-08,0.2269
2003-10-09,-1.1279
2003-10-10,-2.5228
2003-10-14,1.8456000000000001
2003-10-15,0.0988
2003-10-16,1.58
2003-10-17,0.6764
2003-10-20,3.6411
2003-10-22,-2.1739
2003-10-23,0.0
2003-10-24,1.4921
2003-10-27,5.4113
2003-10-28,-3.8576
2003-10-29,3.0864
2003-10-30,23.6527
2003-10-31,-4.3584
2003-11-03,0.7595
2003-11-05,1.5074999999999998
2003-11-06,5.6111
2003-11-07,-0.8599
2003-11-10,-2.7187
2003-11-12,-9.842
2003-11-18,1.6173
2003-11-19,-1.5915
2003-11-20,2.0216
2003-11-21,-5.4161
2003-11-24,2.5140000000000002
2003-11-25,1.0082
2003-11-26,0.8093
2003-12-01,1.1507
2003-12-02,1.164
2003-12-03,-2.6412
2003-12-04,-1.8533
