ticker,JCTCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,-3.75
2000-01-12,5.1948
2000-01-13,-2.4691
2000-01-14,0.0
2000-01-24,-1.2658
2000-01-26,-1.2821
2000-01-27,-1.2987
2000-01-31,-10.526299999999999
2000-02-02,2.9412000000000003
2000-02-04,1.4285999999999999
2000-02-17,9.8592
2000-02-24,-1.9231
2000-03-02,-0.6536
2000-03-03,0.9868
2000-03-08,2.9316
2000-03-15,0.0
2000-03-16,-6.3291
2000-03-17,0.0
2000-03-20,6.7568
2000-03-28,-6.3291
2000-03-29,-2.7027
2000-04-10,0.0
2000-04-12,0.0
2000-04-13,0.0
2000-04-18,-11.1111
2000-04-20,1.5625
2000-04-25,13.8462
2000-05-04,-2.7027
2000-05-16,0.0
2000-05-19,0.0
2000-05-24,0.0
2000-06-13,0.0
2000-06-16,6.9444
2000-06-19,2.5974
2000-06-20,-2.5316
2000-06-22,3.8961
2000-06-26,0.0
2000-06-27,0.0
2000-07-12,3.75
2000-07-13,-4.8193
2000-07-14,6.3291
2000-07-27,2.3810000000000002
2000-08-04,-6.9767
2000-08-14,3.4375
2000-08-16,0.3021
2000-08-18,1.2048
2000-08-22,0.0
2000-08-23,2.3810000000000002
2000-08-24,0.0
2000-08-25,-4.6512
2000-08-28,6.0976
2000-08-29,0.0
2000-08-30,-3.4483
2000-08-31,4.7619
2000-09-07,-6.8182
2000-09-20,0.0
2000-09-26,-0.6098
2000-10-03,-1.8405
2000-10-04,0.0
2000-10-05,0.0
2000-10-20,0.0
2000-10-27,-2.5
2000-10-31,-2.5641
2000-11-01,3.2895
2000-11-07,-0.6369
2000-11-10,0.0
2000-11-16,0.0
2000-11-27,-1.2821
2000-12-01,2.5974
2000-12-11,-1.2658
2000-12-12,0.0
2000-12-13,0.0
2000-12-28,1.9231
2000-12-29,3.1447
2001-01-02,-2.439
2001-01-03,0.0
2001-01-09,0.0
2001-01-10,-1.25
2001-01-11,0.0
2001-01-12,-1.2658
2001-01-30,3.2051
2001-01-31,0.0
2001-02-02,0.6211
2001-02-15,-3.7037
2001-02-16,6.4103
2001-02-20,0.0
2001-02-22,-7.2289
2001-02-23,1.2987
2001-02-26,25.641
2001-02-27,6.1224
2001-02-28,-11.538499999999999
2001-03-05,0.0
2001-03-06,-3.2609
2001-03-13,0.0
2001-03-14,0.0
2001-03-15,-1.1236
2001-03-21,-1.7045
2001-03-26,7.2254
2001-03-28,-6.1995000000000005
2001-03-30,8.046
2001-04-06,-9.5745
