ticker,CHTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-12-03,9.0909
2009-12-04,0.6944
2009-12-08,0.6897
2009-12-09,-1.3699
2009-12-10,-0.6944
2009-12-11,-0.6993
2009-12-14,1.4085
2009-12-15,-2.7778
2009-12-16,0.7143
2009-12-17,-1.4184
2009-12-18,1.4388
2009-12-24,-2.1277
2009-12-31,2.8986
2010-01-04,-2.8169
2010-01-05,1.4493
2010-01-07,0.0
2010-01-08,-4.2857
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,-2.2388
2010-01-14,0.0
2010-01-15,-1.5267
2010-01-19,-0.7752
2010-01-20,-0.7813
2010-01-21,-0.4724
2010-01-22,-0.3165
2010-01-25,-0.7937
2010-01-26,-1.6
2010-01-27,0.0
2010-01-28,0.0
2010-01-29,-0.3902
2010-02-01,-0.4244
2010-02-02,0.0
2010-02-03,-2.459
2010-02-04,1.6806999999999999
2010-02-05,0.8264
2010-02-08,-2.1311
2010-02-09,-0.1675
2010-02-10,-0.1678
2010-02-11,-0.0336
2010-02-12,0.0
2010-02-18,-0.1345
2010-02-22,0.0
2010-02-25,-0.6734
2010-02-26,0.8475
2010-03-01,1.1764999999999999
2010-03-02,0.9967
2010-03-03,1.1513
2010-03-04,0.878
2010-03-05,2.3533
2010-03-08,0.0
2010-03-09,3.1496
2010-03-10,0.7634
2010-03-11,-1.5152
2010-03-12,0.0
2010-03-15,1.5385
2010-03-16,-0.7576
2010-03-17,3.8167999999999997
2010-03-18,2.2059
2010-03-19,0.0
2010-03-22,-0.9209
2010-03-23,1.6555
2010-03-24,0.0
2010-03-25,-1.4285999999999999
2010-03-26,0.7246
2010-03-29,-0.7194
2010-03-30,-0.1449
2010-03-31,0.1451
2010-04-01,1.4493
2010-04-05,0.0
2010-04-06,-1.2857
2010-04-07,0.0
2010-04-09,0.4342
2010-04-12,0.8646
2010-04-14,0.7143
2010-04-15,2.1277
2010-04-16,0.2778
2010-04-19,-0.2493
2010-04-21,-1.3885
2010-04-22,1.3799000000000001
2010-04-23,0.6944
2010-04-26,0.6897
2010-04-27,0.0
2010-04-28,0.0
2010-04-29,2.0548
2010-04-30,1.745
2010-05-03,4.2216
2010-05-04,0.6329
2010-05-05,-0.6289
2010-05-06,-2.9114
2010-05-07,-1.3038
2010-05-10,-0.2642
2010-05-11,0.6623
2010-05-12,0.0
2010-05-14,-1.0526
2010-05-17,1.0638
2010-05-18,-1.9737
2010-05-19,2.5503
2010-05-20,-3.1414
