ticker,CATO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.9406
2000-01-04,-4.7368
2000-01-05,-0.5525
2000-01-06,5.5556
2000-01-07,3.1579
2000-01-10,-6.1224
2000-01-11,-1.6303999999999998
2000-01-12,-3.8674
2000-01-13,-1.1494
2000-01-14,0.0
2000-01-18,-1.7442
2000-01-19,6.5089
2000-01-20,1.1111
2000-01-21,2.1978
2000-01-24,3.2258
2000-01-25,1.0417
2000-01-26,0.0
2000-01-27,-3.0928
2000-01-28,-2.6596
2000-01-31,-10.3825
2000-02-01,2.439
2000-02-02,0.5952
2000-02-03,-4.142
2000-02-04,1.2346
2000-02-07,1.8293
2000-02-08,0.0
2000-02-09,-0.5988
2000-02-10,-3.012
2000-02-11,-1.8634
2000-02-14,-4.4304
2000-02-15,-0.6623
2000-02-16,1.3333
2000-02-17,3.9474
2000-02-18,-1.8987
2000-02-22,1.9355
2000-02-23,-2.5316
2000-02-24,0.0
2000-02-25,3.8961
2000-02-28,0.625
2000-02-29,-0.6211
2000-03-01,1.25
2000-03-02,1.2346
2000-03-03,1.2195
2000-03-06,0.0
2000-03-07,1.2048
2000-03-08,4.7619
2000-03-09,0.3409
2000-03-10,-1.7143000000000002
2000-03-13,-0.5814
2000-03-14,4.0936
2000-03-15,2.2472
2000-03-16,3.8462
2000-03-17,1.0582
2000-03-20,-5.2356
2000-03-21,1.105
2000-03-22,-4.918
2000-03-23,-3.4483
2000-03-24,2.9762
2000-03-27,1.7341
2000-03-28,-2.8409
2000-03-29,0.1462
2000-03-30,7.4453
2000-03-31,2.1739
2000-04-03,-0.5319
2000-04-04,-5.0802
2000-04-05,8.169
2000-04-06,-1.0417
2000-04-07,1.0526
2000-04-10,-1.5625
2000-04-11,-0.2646
2000-04-12,1.8568
2000-04-13,0.2604
2000-04-14,-3.3766
2000-04-17,-2.1505
2000-04-18,-1.0989
2000-04-19,2.7778
2000-04-20,-2.7027
2000-04-24,-2.7778
2000-04-25,0.5714
2000-04-26,-1.1364
2000-04-27,0.0
2000-04-28,-2.8736
2000-05-01,5.9172
2000-05-02,5.0279
2000-05-03,-2.6596
2000-05-04,-0.5464
2000-05-05,6.5934
2000-05-08,-2.0619
2000-05-09,1.0526
2000-05-10,-4.6875
2000-05-11,0.0
2000-05-12,4.3716
2000-05-15,1.0471
2000-05-16,0.5181
2000-05-17,0.0
2000-05-18,-3.3505
2000-05-19,0.8
2000-05-22,-3.1746
2000-05-23,0.0
2000-05-24,1.6393
