ticker,ACA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-31,14.2857
2018-11-01,14.5833
2018-11-02,3.8909000000000002
2018-11-05,1.9601
2018-11-06,-2.7462999999999997
2018-11-07,4.0946
2018-11-08,11.665
2018-11-09,-1.0629
2018-11-12,-6.9675
2018-11-13,1.8806
2018-11-14,-0.0972
2018-11-15,1.5558999999999998
2018-11-16,-0.0958
2018-11-19,-3.1949
2018-11-20,-2.3102
2018-11-21,-2.7365
2018-11-23,-3.4387
2018-11-26,-2.2302
2018-11-27,2.3547000000000002
2018-11-28,0.1078
2018-11-29,-5.6732
2018-11-30,4.0731
2018-12-03,7.2787
2018-12-04,-8.5578
2018-12-06,-1.1186
2018-12-07,-0.7164
2018-12-10,-4.5955
2018-12-11,-4.578
2018-12-12,2.2528
2018-12-13,1.0608
2018-12-14,-1.6149
2018-12-17,-2.5441000000000003
2018-12-18,-2.0211
2018-12-19,-0.6446
2018-12-20,5.7958
2018-12-21,0.1226
2018-12-24,0.8575
2018-12-26,4.1296
2018-12-27,2.8771
2018-12-28,3.7415000000000003
2018-12-31,0.8743
2019-01-02,2.0585
2019-01-03,0.0708
2019-01-04,2.5813
2019-01-07,4.9638
2019-01-08,-0.7553
2019-01-09,-3.2098
2019-01-10,-1.8462
2019-01-11,1.9854
2019-01-14,1.4686
2019-01-15,-0.3034
2019-01-16,0.3044
2019-01-17,0.4046
2019-01-18,0.1007
2019-01-22,-2.7172
2019-01-23,-1.1379
2019-01-24,1.151
2019-01-25,1.2069
2019-01-28,-2.7939
2019-01-29,2.068
2019-01-30,-0.206
2019-01-31,1.2732
2019-02-01,-1.4611
2019-02-04,1.7241
2019-02-05,0.4407
2019-02-06,-0.9112
2019-02-07,0.2044
2019-02-08,0.3739
2019-02-11,0.237
2019-02-12,1.1149
2019-02-13,-0.6014
2019-02-14,2.1513
2019-02-15,3.5209
2019-02-19,0.4132
2019-02-20,1.9626000000000001
2019-02-21,-2.1422
2019-02-22,-1.6497000000000002
2019-02-25,1.3548
2019-02-26,0.4137
2019-02-27,1.0777
2019-02-28,5.0172
2019-03-01,1.3138
2019-03-04,2.7999
2019-03-05,-0.6594
2019-03-06,-1.2987
2019-03-07,-2.924
2019-03-08,1.5663
2019-03-11,1.1269
2019-03-12,-0.4985
2019-03-13,-2.8883
2019-03-14,-2.5797
2019-03-15,-0.5296
2019-03-18,-1.2841
2019-03-19,-4.9492
2019-03-20,-0.2336
2019-03-21,-0.5018
2019-03-22,-2.3537
