ticker,CIVB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.8621
2000-01-04,-4.2735
2000-01-05,0.0
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,2.6786
2000-01-18,-2.6087
2000-01-19,2.6786
2000-01-20,0.4348
2000-01-21,-3.0303
2000-01-24,0.0
2000-01-25,0.0
2000-01-27,2.2321
2000-01-28,-2.1834
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,0.0
2000-02-08,0.0
2000-02-09,0.0
2000-02-11,2.6786
2000-02-14,-2.6087
2000-02-15,0.0
2000-02-16,2.6786
2000-02-17,-2.6087
2000-02-18,2.6786
2000-02-22,-2.1739
2000-02-25,-4.0
2000-03-02,0.0
2000-03-08,0.0
2000-03-09,2.7778
2000-03-10,-2.7027
2000-03-14,0.0
2000-03-15,0.0
2000-03-16,4.1667
2000-03-17,-4.0
2000-03-20,0.0
2000-03-21,-3.7037
2000-03-22,0.0
2000-03-23,1.9231
2000-03-24,-5.6604
2000-03-29,0.0
2000-03-30,-7.0
2000-03-31,7.5269
2000-04-04,-5.0
2000-04-06,-3.1579
2000-04-10,6.5217
2000-04-14,-6.1224
2000-04-17,0.0
2000-04-18,-2.1739
2000-04-25,0.0
2000-04-27,4.4444
2000-04-28,-2.1277
2000-05-01,2.1739
2000-05-02,-4.2553
2000-05-03,-2.2222
2000-05-05,0.0
2000-05-09,4.5455
2000-05-10,-3.2609
2000-05-11,0.0
2000-05-15,0.0
2000-05-16,-1.1236
2000-05-18,5.6818
2000-05-19,0.0
2000-05-31,-4.3011
2000-06-01,3.3708
2000-06-08,-4.3478
2000-06-12,4.5455
2000-06-15,1.087
2000-06-19,-4.8387
2000-06-20,0.0
2000-06-22,0.565
2000-06-23,1.1236
2000-06-26,2.2222
2000-06-28,-4.3478
2000-06-30,4.5455
2000-07-06,-5.4348
2000-07-10,6.8966
2000-07-14,1.0753
2000-07-19,-6.383
2000-07-20,-1.1364
2000-07-21,-0.5747
2000-07-24,-1.1561
2000-07-25,-1.7544
2000-07-26,3.5714
2000-07-27,-5.7471
2000-07-31,-3.6585
2000-08-01,-1.8987
2000-08-02,5.8065
2000-08-03,-0.6098
2000-08-09,-1.8405
2000-08-10,-3.125
2000-08-14,0.6452
2000-08-15,2.5641
2000-08-16,0.0
2000-08-21,-0.625
2000-08-25,3.7736
2000-08-28,-6.0606
2000-08-31,5.8065
2000-09-05,-2.439
2000-09-06,0.0
2000-09-07,-3.125
