ticker,RNWK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.7922000000000002
2000-01-04,1.4579
2000-01-05,0.5854
2000-01-06,-4.1799
2000-01-07,16.6759
2000-01-10,5.9158
2000-01-11,-7.1492
2000-01-12,-2.7911
2000-01-13,20.9406
2000-01-14,-4.4617
2000-01-18,8.4404
2000-01-19,-2.7657
2000-01-20,0.0
2000-01-21,-1.8285
2000-01-24,-2.7318
2000-01-25,7.4894
2000-01-26,7.601
2000-01-27,2.9065
2000-01-28,-9.9392
2000-01-31,-0.1588
2000-02-01,0.4374
2000-02-02,2.2565
2000-02-03,3.6779
2000-02-04,-5.6759
2000-02-07,0.8709
2000-02-08,16.248
2000-02-09,-6.077
2000-02-10,7.4766
2000-02-11,-5.0167
2000-02-14,-1.831
2000-02-15,0.1435
2000-02-16,-0.9312
2000-02-17,4.4107
2000-02-18,-6.4404
2000-02-22,-2.4426
2000-02-23,-0.9105
2000-02-24,5.6662
2000-02-25,-9.1304
2000-02-28,-6.8581
2000-02-29,-3.6814999999999998
2000-03-01,-0.8
2000-03-02,-7.8853
2000-03-03,9.2412
2000-03-06,3.6509
2000-03-07,-3.6082
2000-03-08,1.1586
2000-03-09,13.8326
2000-03-10,1.0836
2000-03-13,-8.1164
2000-03-14,-11.6667
2000-03-15,-5.0
2000-03-16,-1.291
2000-03-17,10.7646
2000-03-20,-9.5368
2000-03-21,9.1365
2000-03-22,-0.184
2000-03-23,3.6866
2000-03-24,2.8444000000000003
2000-03-27,0.4322
2000-03-28,-6.0456
2000-03-29,-9.2283
2000-03-30,-4.44
2000-03-31,-3.8015
2000-04-03,-9.6597
2000-04-04,-2.5516
2000-04-05,-1.6209
2000-04-06,1.3942
2000-04-07,0.0
2000-04-10,-10.5
2000-04-11,-10.3352
2000-04-12,-4.2056000000000004
2000-04-13,-15.4472
2000-04-14,-5.9615
2000-04-17,11.2474
2000-04-18,21.5074
2000-04-19,-13.3132
2000-04-20,5.2356
2000-04-24,-5.6385
2000-04-25,5.6239
2000-04-26,-2.8286
2000-04-27,16.0959
2000-04-28,12.3894
2000-05-01,1.0499
2000-05-02,-10.0
2000-05-03,3.3189
2000-05-04,-1.8155999999999999
2000-05-05,-1.138
2000-05-08,-5.036
2000-05-09,-7.2727
2000-05-10,-0.6536
2000-05-11,-0.3289
2000-05-12,-4.2904
2000-05-15,4.8276
2000-05-16,-5.0987
2000-05-17,0.6932
2000-05-18,0.1721
2000-05-19,-2.7491
2000-05-22,2.6502
