ticker,TRNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-27,-6.4286
2020-02-28,41.2214
2020-03-02,28.2703
2020-03-03,-8.975999999999999
2020-03-04,1.8519
2020-03-05,-5.0
2020-03-06,-4.7847
2020-03-09,-14.5729
2020-03-10,-14.6471
2020-03-11,10.2688
2020-03-12,-15.5625
2020-03-13,-7.4019
2020-03-16,-12.0703
2020-03-17,15.4545
2020-03-18,-13.3858
2020-03-19,-0.4545
2020-03-20,-4.1096
2020-03-23,-23.8095
2020-03-24,13.75
2020-03-25,7.1429
2020-03-26,2.5641
2020-03-27,5.0
2020-03-30,4.7619
2020-03-31,-4.5455
2020-04-01,-10.0
2020-04-02,4.7619
2020-04-03,3.4848
2020-04-06,-2.3914
2020-04-07,-7.46
2020-04-08,-3.9334
2020-04-09,-2.1372
2020-04-13,3.4483
2020-04-14,11.2222
2020-04-15,-0.0999
2020-04-16,12.5
2020-04-17,7.5111
2020-04-20,7.7305
2020-04-21,1.6884000000000001
2020-04-22,6.4151
2020-04-23,7.8014
2020-04-24,0.3289
2020-04-27,2.4262
2020-04-28,-1.6644999999999999
2020-04-29,0.4525
2020-04-30,-9.2647
2020-05-01,3.8571
2020-05-04,-5.0894
2020-05-05,-12.3188
2020-05-06,-4.5455
2020-05-07,2.1645
2020-05-08,-4.2373
2020-05-11,-3.5398
2020-05-12,4.5872
2020-05-13,-2.6316
2020-05-14,-0.9009
2020-05-15,-5.4091000000000005
2020-05-18,10.5238
2020-05-19,8.1739
2020-05-20,-1.2058
2020-05-21,-1.2205
2020-05-22,-1.4003
2020-05-26,0.6683
2020-05-27,14.5228
2020-05-28,-6.5217
2020-05-29,6.9767
2020-06-01,6.2318999999999996
2020-06-02,11.1869
2020-06-03,4.908
2020-06-04,-7.8363
2020-06-05,-5.1396
2020-06-08,8.1605
2020-06-09,5.133
2020-06-10,-5.8824
2020-06-11,-3.75
2020-06-12,7.263
2020-06-15,-3.1389
2020-06-16,4.6875
2020-06-17,-6.209
2020-06-18,-4.5194
2020-06-19,-3.3333
2020-06-22,-3.3103
2020-06-23,4.8502
2020-06-24,-3.9116
2020-06-25,-0.7434
2020-06-26,2.7104
2020-06-29,1.3889
2020-06-30,-2.0548
2020-07-01,1.8182
2020-07-02,-7.2802
2020-07-06,3.6296
2020-07-07,-3.574
2020-07-08,2.298
2020-07-09,-9.4565
2020-07-10,2.1208
2020-07-13,-5.9561
2020-07-14,-4.1667
2020-07-15,0.2522
2020-07-16,10.5907
2020-07-17,6.5882
2020-07-20,-6.5489
2020-07-21,-5.5118
2020-07-22,2.0
2020-07-23,1.9607999999999999
2020-07-24,-3.8462
2020-07-27,1.6667
2020-07-28,-2.459
2020-07-29,0.8403
2020-07-30,-2.1667
2020-07-31,-1.1925
