ticker,TKLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-03-27,3.2258
2009-03-30,1.5625
2009-04-01,7.6923
2009-04-02,-14.2857
2009-04-03,0.0
2009-04-06,0.0
2009-04-08,0.0
2009-04-14,-16.6667
2009-04-15,14.0
2009-04-16,5.2632
2009-04-17,8.0
2009-04-20,15.7407
2009-04-21,1.3333
2009-04-22,5.2632
2009-04-23,0.0
2009-04-24,0.0
2009-04-28,6.25
2009-05-05,11.7647
2009-05-06,0.0
2009-05-07,4.2105
2009-05-08,2.2222
2009-05-11,-11.0672
2009-05-12,-2.2222
2009-05-14,2.2727
2009-05-18,-33.3333
2009-05-19,83.3333
2009-05-20,3.6364
2009-05-21,0.0
2009-05-22,0.0
2009-05-26,-3.5088
2009-05-27,0.0
2009-05-28,0.0
2009-06-01,-9.0909
2009-06-04,-30.0
2009-06-05,0.0
2009-06-08,0.0
2009-06-11,-14.2857
2009-06-12,10.0
2009-06-15,6.0606
2009-06-17,0.0
2009-06-18,0.0
2009-06-19,0.0
2009-06-22,0.0
2009-06-24,0.0
2009-06-25,0.0
2009-06-26,45.7143
2009-06-30,0.0
2009-07-02,105.8824
2009-07-06,0.0
2009-07-07,0.0
2009-07-08,0.0
2009-07-10,-38.0952
2009-07-13,61.5385
2009-07-14,-4.7619
2009-07-15,-12.0
2009-07-22,-9.0909
2009-07-28,-93.75
2009-07-29,700.0
2009-07-31,62.5
2009-08-03,0.0
2009-08-10,0.0
2009-09-14,-30.7692
2009-09-21,8.8889
2009-10-13,12.2449
2009-10-20,-18.1818
2009-10-27,13.3333
2009-10-29,0.0
2009-11-13,-11.7647
2009-11-17,-73.3333
2009-11-18,25.0
2009-11-19,-21.0
2009-11-20,18.1435
2009-11-23,21.4286
2009-11-24,17.647100000000002
2009-11-25,-5.0
2009-12-02,0.0
2009-12-03,15.7895
2009-12-04,50.0
2009-12-07,-6.0606
2009-12-08,0.0
2009-12-09,32.2581
2009-12-10,-7.3171
2009-12-11,-5.2632
2009-12-15,-30.5556
2009-12-16,72.0
2009-12-17,2.3256
2009-12-18,6.8182
2009-12-29,-14.8936
2009-12-30,0.0
2010-01-05,-37.5
2010-01-06,68.0
2010-01-07,28.5714
2010-01-08,-11.1111
2010-01-11,4.1667
2010-01-12,-40.0
2010-01-13,48.3333
2010-01-14,-10.1124
2010-01-19,17.5
2010-01-20,8.5106
2010-01-21,0.0
2010-01-22,5.8824
2010-01-25,-7.4074
2010-01-26,2.0
2010-01-27,-37.2549
