ticker,DYNA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-20,360.0
2012-03-22,-2.1739
2012-07-05,0.0
2012-07-11,-1.1111
2012-08-22,12.3596
2012-12-04,-75.0
2013-04-01,0.0
2013-04-05,-20.0
2013-04-08,0.0
2013-04-10,0.0
2013-05-01,0.0
2013-05-08,-25.0
2013-06-13,33.3333
2013-07-16,-89.0
2013-08-13,127.2727
2013-11-15,100.0
2014-01-15,-50.0
2014-03-07,0.0
2015-02-24,-80.0
2015-05-28,-30.0
2015-08-03,1328.5714
2015-08-12,-50.0
2015-10-26,0.0
2015-12-04,95.0
2016-03-17,-48.7179
2016-05-09,100.0
2016-06-06,-0.125
2016-08-11,100.2503
2016-09-07,-74.9375
2017-01-05,-0.2494
2017-02-07,300.0
2017-02-23,-12.5
2017-02-24,2.8571
2017-02-28,-16.6667
2017-03-02,-20.0
2017-03-06,-16.6667
2017-03-07,10.0
2017-03-09,0.0
2017-03-15,4.5455
2017-05-01,-13.0435
2017-05-10,0.0
2017-08-03,-45.0
2017-08-07,0.0
2017-11-07,27.2727
2018-01-24,28.5714
2018-02-27,-38.8889
2018-07-06,45.4545
2018-08-27,0.0
2018-08-28,8.125
2018-09-24,-36.4162
2018-10-01,9.0909
2018-10-18,0.0
2018-11-09,0.0
2018-11-30,-8.3333
2019-01-07,-9.0909
2019-01-17,-20.0
2019-01-28,-25.0
2019-03-07,0.0
2019-03-13,-16.6667
2019-03-18,-40.0
2019-03-22,0.0
2019-03-27,-6.6667
2019-05-01,7.1429
2019-07-23,0.0
2019-07-29,0.0
2019-07-30,100.0
2019-09-24,33.3333
2019-11-07,-75.0
2019-11-13,375.0
2019-11-19,-15.7895
2019-12-03,50.0
2019-12-04,-31.6667
2019-12-10,0.0
2019-12-13,-54.878
2019-12-17,1.6216
2019-12-23,59.5745
2020-01-10,30.0
2020-03-09,-69.2308
2020-03-19,150.0
2020-04-01,-11.6667
2020-04-09,-47.1698
2020-04-14,-14.2857
2020-05-08,65.0
2020-06-10,1.0101
2020-07-02,0.0
2020-07-07,-40.0
2020-07-08,0.0
