ticker,CNTFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-06,-5.7231
2005-05-09,2.7415000000000003
2005-05-10,-0.5718
2005-05-11,1.7252
2005-05-12,-0.9422
2005-05-13,0.5073
2005-05-16,0.5678
2005-05-17,-0.2509
2005-05-18,0.9434
2005-05-19,-0.3115
2005-05-20,3.125
2005-05-23,0.303
2005-05-24,1.5106000000000002
2005-05-25,-0.6548
2005-05-26,-0.9587
2005-05-27,1.3309
2005-05-31,3.8806000000000003
2005-06-01,3.4483
2005-06-02,-1.1111
2005-06-03,0.0
2005-06-06,4.4944
2005-06-07,-3.2258
2005-06-08,-4.1111
2005-06-09,-3.5342000000000002
2005-06-10,-1.9219
2005-06-13,-0.3674
2005-06-14,-0.5532
2005-06-15,0.3708
2005-06-16,2.1552
2005-06-17,2.4111000000000002
2005-06-20,0.9417
2005-06-21,3.4402
2005-06-22,-1.8601999999999999
2005-06-23,-5.2269
2005-06-24,1.0909
2005-06-27,-1.0791
2005-06-28,-0.4848
2005-06-29,1.7052
2005-06-30,-2.5749
2005-07-01,2.8273
2005-07-05,0.1793
2005-07-06,-0.0597
2005-07-07,1.194
2005-07-08,-0.118
2005-07-11,6.0248
2005-07-12,4.7354
2005-07-13,-0.5851
2005-07-14,-0.0535
2005-07-15,-2.3019
2005-07-18,1.0411
2005-07-19,-0.4881
2005-07-20,1.3624
2005-07-21,0.9677
2005-07-22,-1.4909
2005-07-25,1.3514
2005-07-26,1.3333
2005-07-27,0.0
2005-07-28,-1.3158
2005-07-29,-0.3733
2005-08-01,-1.3919000000000001
2005-08-02,-4.9946
2005-08-03,1.7143000000000002
2005-08-04,-5.5056
2005-08-05,4.0428
2005-08-08,1.1429
2005-08-09,3.1073
2005-08-10,-0.7123
2005-08-11,-0.3863
2005-08-12,-4.4321
2005-08-15,4.6377
2005-08-16,-5.0416
2005-08-17,-5.1342
2005-08-18,-10.2091
2005-08-19,0.7534
2005-08-22,2.7192
2005-08-23,0.9265
2005-08-24,-0.9836
2005-08-25,2.5166
2005-08-26,0.1292
2005-08-29,1.9355
2005-08-30,1.2658
2005-08-31,0.625
2005-09-01,-3.0435
2005-09-02,-0.0641
2005-09-06,-7.5641
2005-09-07,-9.4313
2005-09-08,-1.2251
2005-09-09,0.155
2005-09-12,-4.8762
2005-09-13,-0.9764
2005-09-14,-7.5596
2005-09-15,-4.0889
2005-09-16,-2.5949999999999998
2005-09-19,4.3768
2005-09-20,-0.5469
2005-09-21,-3.0247
