ticker,HUBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-09,20.4
2014-10-10,-3.4884
2014-10-13,-6.1962
2014-10-14,9.5046
2014-10-15,-7.8418
2014-10-16,9.7091
2014-10-17,1.6240999999999999
2014-10-20,1.7612999999999999
2014-10-21,-3.2051
2014-10-22,-0.596
2014-10-23,5.5963
2014-10-24,1.2934
2014-10-27,2.9586
2014-10-28,2.3896
2014-10-29,1.3885
2014-10-30,0.3788
2014-10-31,3.4253
2014-11-03,-1.9365999999999999
2014-11-04,4.4934
2014-11-05,-0.2465
2014-11-06,-0.3569
2014-11-07,1.1298
2014-11-10,-0.4905
2014-11-11,-0.4107
2014-11-12,-2.6395
2014-11-13,3.6148
2014-11-14,0.8449
2014-11-17,-0.3514
2014-11-18,-0.0271
2014-11-19,-2.6316
2014-11-20,0.4179
2014-11-21,0.4162
2014-11-24,1.3816
2014-11-25,-2.4257
2014-11-26,-0.838
2014-11-28,-0.3099
2014-12-01,-3.7864
2014-12-02,-1.351
2014-12-03,-3.1557
2014-12-04,0.7993
2014-12-05,1.5857999999999999
2014-12-08,2.0414
2014-12-09,2.2065
2014-12-10,-1.6983000000000001
2014-12-11,-1.8448
2014-12-12,-1.4916
2014-12-15,-2.0594
2014-12-16,-0.9895
2014-12-17,5.4341
2014-12-18,0.7998
2014-12-19,-1.4693
2014-12-22,-1.014
2014-12-23,2.4405
2014-12-24,-1.4118
2014-12-26,0.2088
2014-12-29,1.4885
2014-12-30,-1.4667
2014-12-31,0.0595
2015-01-02,-0.3868
2015-01-05,-0.2091
2015-01-06,-1.4367
2015-01-07,0.3037
2015-01-08,1.9376
2015-01-09,-1.5741
2015-01-12,-0.2716
2015-01-13,-1.5734
2015-01-14,-0.0307
2015-01-15,0.0308
2015-01-16,2.367
2015-01-20,1.6216
2015-01-21,0.0
2015-01-22,3.3983
2015-01-23,-4.2298
2015-01-26,-1.0146
2015-01-27,3.0449
2015-01-28,1.5798999999999999
2015-01-29,0.7776
2015-01-30,-3.8297
2015-02-02,-1.0698
2015-02-03,3.3043
2015-02-04,0.5234
2015-02-05,3.2977
2015-02-06,-1.4282
2015-02-09,-3.1534
2015-02-10,1.9654
2015-02-11,-0.9781
2015-02-12,7.699
2015-02-13,16.7791
2015-02-17,-2.2407
2015-02-18,-3.1191
2015-02-19,0.4634
2015-02-20,5.5353
2015-02-23,-2.7605
2015-02-24,-3.6432
2015-02-25,1.7431999999999999
2015-02-26,0.0
2015-02-27,-0.8446
