ticker,SNSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-09-27,-7.1429
2005-09-28,-3.8462
2005-09-29,0.8
2005-09-30,6.1905
2005-10-03,0.1495
2005-10-04,0.8955
2005-10-05,-2.3669000000000002
2005-10-06,-3.0303
2005-10-07,-2.3438
2005-10-10,3.2
2005-10-11,-0.9302
2005-10-12,-2.1909
2005-10-13,-0.8
2005-10-14,0.6452
2005-10-17,1.1218
2005-10-18,0.4754
2005-10-19,-2.9968
2005-10-20,-0.3252
2005-10-21,-3.752
2005-10-24,3.8983
2005-10-25,-0.6525
2005-10-26,0.9852
2005-10-27,-2.439
2005-10-28,0.0
2005-10-31,-3.5
2005-11-01,-10.19
2005-11-02,-3.8462
2005-11-03,-6.2
2005-11-04,2.7719
2005-11-07,6.8465
2005-11-08,0.5825
2005-11-09,-7.3359
2005-11-10,1.0417
2005-11-11,5.1546
2005-11-14,2.1569
2005-11-15,-0.7678
2005-11-16,-1.9342000000000001
2005-11-17,1.8245
2005-11-18,1.8885999999999998
2005-11-21,-2.2814
2005-11-22,0.3891
2005-11-23,1.7442
2005-11-28,0.0
2005-11-29,0.0
2005-11-30,1.7143000000000002
2005-12-01,-2.6217
2005-12-02,-1.5385
2005-12-05,-0.9766
2005-12-06,-1.3807
2005-12-07,-1.6
2005-12-08,1.626
2005-12-09,0.8
2005-12-12,0.1984
2005-12-13,-0.9901
2005-12-14,-1.8
2005-12-15,1.4257
2005-12-16,-5.0201
2005-12-19,-0.4228
2005-12-20,-1.0616
2005-12-21,6.4378
2005-12-22,-0.2016
2005-12-23,-4.8485
2005-12-27,7.0064
2005-12-28,-0.3968
2005-12-29,-0.3984
2005-12-30,-0.4
2006-01-03,3.2129
2006-01-04,-1.3618999999999999
2006-01-05,0.5917
2006-01-06,2.9412000000000003
2006-01-09,-0.381
2006-01-10,-2.1033
2006-01-11,-2.3438
2006-01-12,-1.8
2006-01-13,1.0183
2006-01-17,-6.0484
2006-01-18,0.0
2006-01-19,3.3047
2006-01-20,-3.199
2006-01-23,0.8584
2006-01-24,3.1915
2006-01-25,3.0928
2006-01-26,-4.0
2006-01-27,-2.2917
2006-01-30,1.0661
2006-01-31,-0.6329
2006-02-01,-2.7601
2006-02-02,2.6201
2006-02-03,0.2128
2006-02-06,-4.034
2006-02-07,3.9823
2006-02-08,-0.2128
2006-02-09,1.2793
2006-02-10,-1.0526
2006-02-13,1.7021
2006-02-14,4.6025
2006-02-15,3.4
2006-02-16,-3.4816
