ticker,WING US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-12,61.0
2015-06-15,-0.1308
2015-06-16,-2.8478
2015-06-17,-4.717
2015-06-18,1.3083
2015-06-19,2.4084
2015-06-22,-2.6585
2015-06-23,0.6653
2015-06-24,-1.4609
2015-06-25,-1.306
2015-06-26,1.0372
2015-06-29,-2.6549
2015-06-30,3.2727
2015-07-01,-1.4437
2015-07-02,1.8935
2015-07-06,-2.8752
2015-07-07,2.7076000000000002
2015-07-08,4.6749
2015-07-09,10.6783
2015-07-10,4.3083
2015-07-13,-4.2467
2015-07-14,-5.9538
2015-07-15,-6.4922
2015-07-16,9.4646
2015-07-17,-3.2187
2015-07-20,0.9782
2015-07-21,3.4227
2015-07-22,-2.3728
2015-07-23,0.8634
2015-07-24,-0.8878
2015-07-27,-1.7593999999999999
2015-07-28,6.2683
2015-07-29,5.5001999999999995
2015-07-30,-0.7552
2015-07-31,0.3219
2015-08-03,2.8005
2015-08-04,-6.6118
2015-08-05,-5.0137
2015-08-06,0.6078
2015-08-07,0.1272
2015-08-10,0.254
2015-08-11,-0.1267
2015-08-12,0.1586
2015-08-13,-3.6414999999999997
2015-08-14,-1.8403
2015-08-17,0.837
2015-08-18,-0.0664
2015-08-19,-3.4551
2015-08-20,-3.682
2015-08-21,-0.9646
2015-08-24,-3.3911
2015-08-25,-2.9126
2015-08-26,3.3846
2015-08-27,2.9018
2015-08-28,2.4223
2015-08-31,-3.4239
2015-09-01,-2.1199
2015-09-02,2.2031
2015-09-03,-2.0095
2015-09-04,1.9761
2015-09-08,1.7185000000000001
2015-09-09,-1.7254
2015-09-10,0.7315
2015-09-11,3.4495
2015-09-14,-3.0186
2015-09-15,-0.5067
2015-09-16,-0.873
2015-09-17,-2.2385
2015-09-18,-3.5661
2015-09-21,-0.1557
2015-09-22,-0.1559
2015-09-23,0.6248
2015-09-24,-1.0865
2015-09-25,-0.0785
2015-09-28,-4.2403
2015-09-29,-2.624
2015-09-30,0.9684
2015-10-01,0.0417
2015-10-02,1.6674
2015-10-05,7.2571
2015-10-06,0.8792
2015-10-07,3.7514
2015-10-08,4.0906
2015-10-09,0.7018
2015-10-12,-1.9861
2015-10-13,-2.2752
2015-10-14,-2.5464
2015-10-15,0.224
2015-10-16,1.6760000000000002
2015-10-19,-0.3663
2015-10-20,-3.4191
2015-10-21,-3.2356
2015-10-22,0.2754
2015-10-23,0.8631
2015-10-26,-0.2334
2015-10-27,-3.7037
2015-10-28,3.2794
