ticker,MCPB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-01,-8.6957
2001-12-07,38.0952
2001-12-12,0.069
2002-04-24,7.8567
2002-05-01,0.639
2003-04-04,3.8095
2003-05-08,0.0
2003-05-29,2.5994
2003-07-03,0.149
2003-07-10,4.1667
2004-04-15,8.5714
2004-05-05,-2.6316
2004-11-23,-2.2973
2004-12-28,3.7344
2005-03-21,4.6667
2005-06-14,-7.7707
2005-06-28,0.0
2005-07-19,1.2707
2006-11-08,17.2941
2007-03-19,-6.1628
2007-03-21,2.4783
2007-06-13,-1.2092
2007-06-20,0.0
2008-05-23,-2.0808
2008-06-17,0.0
2008-07-15,-2.375
2008-09-19,-8.0666
2008-12-01,-2.507
2008-12-02,-1.4285999999999999
2008-12-15,8.6957
2010-12-01,-27.973300000000002
2011-01-21,0.8886
2011-01-24,-11.9266
2011-01-25,0.0
2011-02-28,9.7083
2011-03-17,10.1405
2011-09-26,0.0
2014-07-16,-10.0
2014-08-25,14.9425
2016-10-21,-11.3333
2017-02-09,-36.0902
2017-07-21,5.8824
2017-11-08,41.2429
2017-11-20,-0.6
2017-12-08,-23.6253
2018-07-31,10.1928
2019-01-07,28.866
2019-05-21,5.2632
2019-07-22,5.0584
2020-03-23,31.8008
