ticker,SAVE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-26,-3.75
2011-05-27,-0.6061
2011-05-31,2.7875
2011-06-01,-1.7797
2011-06-02,2.6747
2011-06-03,0.5042
2011-06-06,0.2508
2011-06-07,0.2502
2011-06-08,0.5824
2011-06-09,0.6617
2011-06-10,-1.0682
2011-06-13,-0.0831
2011-06-14,-0.2494
2011-06-15,0.0
2011-06-16,-0.9167
2011-06-17,0.0841
2011-06-20,0.8403
2011-06-21,0.4167
2011-06-22,-0.166
2011-06-23,0.1663
2011-06-24,-0.4149
2011-06-27,0.0
2011-06-28,2.5
2011-06-29,-0.3252
2011-06-30,-2.2023
2011-07-01,3.4195
2011-07-05,-2.0161
2011-07-06,8.3951
2011-07-07,-2.0501
2011-07-08,6.2791
2011-07-11,-2.1882
2011-07-12,0.9694
2011-07-13,4.062
2011-07-14,1.4194
2011-07-15,-0.4199
2011-07-18,-4.0056
2011-07-19,2.489
2011-07-20,-4.3571
2011-07-21,3.062
2011-07-22,-2.029
2011-07-25,-2.8106999999999998
2011-07-26,-2.8158
2011-07-27,-1.018
2011-07-28,4.7468
2011-07-29,-1.0574
2011-08-01,-0.5344
2011-08-02,-0.6907
2011-08-03,2.3184
2011-08-04,-4.7583
2011-08-05,0.0
2011-08-08,-10.3093
2011-08-09,2.6525
2011-08-10,-5.4264
2011-08-11,8.561
2011-08-12,-2.5168
2011-08-15,4.0448
2011-08-16,0.3309
2011-08-17,-0.1649
2011-08-18,-9.0834
2011-08-19,-4.178
2011-08-22,-1.0427
2011-08-23,11.4943
2011-08-24,2.3196
2011-08-25,-2.8547000000000002
2011-08-26,4.9265
2011-08-29,2.4712
2011-08-30,-2.9743
2011-08-31,0.0829
2011-09-01,-1.0762
2011-09-02,-1.7572999999999999
2011-09-06,-0.5963
2011-09-07,1.7995
2011-09-08,-3.2828
2011-09-09,-1.0444
2011-09-12,-1.847
2011-09-13,2.6882
2011-09-14,8.2897
2011-09-15,2.9009
2011-09-16,0.0
2011-09-19,-1.7227999999999999
2011-09-20,-4.7809
2011-09-21,-3.1799
2011-09-22,-2.8522
2011-09-23,3.4698
2011-09-26,2.1496
2011-09-27,2.6936
2011-09-28,-0.5738
2011-09-29,4.9464
2011-09-30,-1.8068
2011-10-03,-6.4
2011-10-04,6.2393
2011-10-05,2.4135
2011-10-06,3.2207
2011-10-07,-0.3044
2011-10-10,2.5191
2011-10-11,2.0849
2011-10-12,5.9081
2011-10-13,9.5041
