ticker,ADAD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-28,63025.0
2016-02-16,-49.505
2016-02-19,-60.7843
2016-02-26,0.0
2016-03-02,5.0
2016-03-04,-4.7619
2016-03-08,0.0
2016-03-10,10.0
2016-03-11,0.0
2016-03-15,0.0
2016-03-23,0.0
2016-03-24,122.7273
2016-04-07,-12.2449
2016-04-08,18.6047
2016-04-11,0.0
2016-04-12,0.0
2016-04-13,25.4902
2016-04-14,-15.3125
2016-04-15,19.9262
2016-04-18,-2.3077
2016-04-19,2.3622
2016-04-20,-1.7692
2016-04-21,1.8011
2016-04-26,0.0
2016-05-02,-3.0769
2016-05-04,3.1746
2016-05-10,-1.7692
2016-05-11,0.0
2016-05-17,-21.6915
2016-05-18,-28.0
2016-05-20,41.6667
2016-05-26,27.451
2016-05-27,-7.6923
2016-05-31,8.3333
2016-06-01,-43.8462
2016-06-02,-20.5479
2016-06-06,20.6897
2016-06-07,8.5714
2016-06-08,10.526299999999999
2016-06-09,54.7619
2016-06-10,-35.3846
2016-06-13,61.875
2016-06-14,-5.865
2016-06-17,-34.375
2016-06-20,66.6667
2016-06-21,-21.4286
2016-06-22,-5.4318
2016-06-23,1.8986
2016-06-24,0.0
2016-06-28,-33.3962
2016-06-29,4.8513
2016-06-30,-5.4036
2016-07-01,5.6765
2016-07-05,18.9189
2016-07-06,11.3636
2016-07-07,6.1224
2016-07-08,5.7692
2016-07-11,12.7273
2016-07-12,0.9677
2016-07-13,0.639
2016-07-14,0.0
2016-07-15,1.5873
2016-07-18,9.375
2016-07-19,2.8571
2016-07-20,1.4062999999999999
2016-07-21,1.3525
2016-07-22,21.6216
2016-07-25,-5.1667
2016-07-26,2.6362
2016-07-27,1.0274
2016-07-28,-10.7345
2016-07-29,-6.3291
2016-08-01,10.8108
2016-08-02,8.5366
2016-08-03,7.8652
2016-08-05,-18.75
2016-08-08,-19.2308
2016-08-09,0.0
2016-08-10,1.5873
2016-08-11,0.0
2016-08-12,6.748
2016-08-15,0.0
2016-08-16,-12.1764
2016-08-18,-31.6667
2016-08-19,-14.7561
2016-08-22,0.1431
2016-08-24,14.2857
2016-08-25,-37.5
2016-08-29,-24.0
2016-08-30,50.0
2016-09-01,5.2632
2016-09-07,0.0
2016-09-09,-5.0
2016-09-12,-50.8772
2016-09-13,17.8571
2016-09-14,9.0909
2016-09-15,5.5556
2016-09-16,-26.3158
2016-09-19,-50.0
2016-09-20,-71.4286
2016-09-21,-25.0
2016-09-22,0.0
