ticker,UGRO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-11-18,0.0
2019-11-19,-1.9607999999999999
2019-11-20,-10.0
2019-11-21,11.1111
2019-11-22,-10.0
2019-11-26,0.0
2019-11-29,0.0
2019-12-04,2.2222
2019-12-10,-34.7826
2019-12-12,-16.6667
2019-12-19,20.0
2019-12-20,-10.0
2019-12-23,-3.7037
2019-12-24,0.0
2019-12-26,-7.6923
2020-01-13,0.0
2020-01-14,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-21,0.0
2020-01-23,25.0
2020-01-24,-6.6667
2020-01-28,0.0
2020-01-29,-14.2857
2020-01-30,0.0
2020-01-31,4.1667
2020-02-03,-4.0
2020-02-04,-8.3333
2020-02-06,9.0909
2020-02-12,0.0
2020-02-14,0.0
2020-02-18,0.0
2020-02-19,-16.6667
2020-02-20,0.0
2020-02-21,15.0
2020-02-25,0.0
2020-02-27,-13.0435
2020-02-28,0.0
2020-03-02,18.0
2020-03-04,-15.2542
2020-03-12,-45.0
2020-03-26,-7.2727
2020-04-14,96.0784
2020-04-15,0.0
2020-04-20,0.0
2020-04-24,0.0
2020-04-30,0.0
2020-05-04,0.0
2020-05-05,-10.0
2020-05-19,11.1111
2020-05-20,0.0
2020-05-28,-10.0
2020-05-29,-1.1111
2020-06-03,12.3596
2020-06-10,-12.0
2020-06-11,-42.0455
2020-06-18,96.0784
2020-06-24,0.0
2020-07-10,-10.0
2020-07-13,0.0
