ticker,PAHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-11,13.3333
2014-04-14,-1.9412
2014-04-15,-2.5795
2014-04-16,0.431
2014-04-17,-1.7781
2014-04-21,0.6866
2014-04-22,4.2777
2014-04-23,1.7241
2014-04-24,0.1753
2014-04-25,4.259
2014-04-28,0.5036
2014-04-29,-2.2829
2014-04-30,0.6268
2014-05-01,-0.3964
2014-05-02,1.0802
2014-05-05,1.0124
2014-05-06,-0.7795
2014-05-07,0.8418
2014-05-08,-0.7234
2014-05-09,-0.4484
2014-05-12,-0.1689
2014-05-13,0.6204
2014-05-14,0.3924
2014-05-15,0.2792
2014-05-16,-0.3341
2014-05-19,3.1844
2014-05-20,0.9204
2014-05-21,-1.3412
2014-05-22,1.1963
2014-05-23,0.2149
2014-05-27,1.4477
2014-05-28,-2.0085
2014-05-29,2.8047
2014-05-30,-0.1574
2014-06-02,0.9459
2014-06-03,2.3425000000000002
2014-06-04,3.4588
2014-06-05,1.6223999999999998
2014-06-06,-0.5806
2014-06-09,5.8394
2014-06-10,1.1034
2014-06-11,5.0932
2014-06-12,-3.8510999999999997
2014-06-13,-1.3051
2014-06-16,-4.6968
2014-06-17,-4.1627
2014-06-18,3.2451
2014-06-19,0.3868
2014-06-20,-1.3006
2014-06-23,2.0986
2014-06-24,0.5736
2014-06-25,4.23
2014-06-26,-0.7752
2014-06-27,-4.7794
2014-06-30,5.9363
2014-07-01,0.9567
2014-07-02,1.1282
2014-07-03,0.4016
2014-07-07,-2.5778
2014-07-08,-7.0712
2014-07-09,-0.8346
2014-07-10,-2.9208
2014-07-11,3.0087
2014-07-14,0.0495
2014-07-15,-3.2657
2014-07-16,0.9719
2014-07-17,-0.6079
2014-07-18,2.2936
2014-07-21,0.0997
2014-07-22,-1.3937
2014-07-23,2.0697
2014-07-24,-1.3848
2014-07-25,-0.9027
2014-07-28,-0.9109
2014-07-29,-0.1021
2014-07-30,-2.2495
2014-07-31,-0.8368
2014-08-01,0.2637
2014-08-04,-2.1042
2014-08-05,-0.8598
2014-08-06,-0.7588
2014-08-07,-1.3654
2014-08-08,3.1008
2014-08-11,1.9870999999999999
2014-08-12,-3.2649
2014-08-13,2.8307
2014-08-14,-0.0529
2014-08-15,-1.9068
2014-08-18,2.9698
2014-08-19,0.0524
2014-08-20,-1.0482
2014-08-21,1.589
2014-08-22,-0.7821
2014-08-25,1.2086000000000001
2014-08-26,0.7269
2014-08-27,-2.0619
2014-08-28,0.3684
2014-08-29,0.8915
