ticker,DCPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-28,3.8235
2017-09-29,7.5921
2017-10-02,3.8968
2017-10-03,-0.1014
2017-10-04,2.7397
2017-10-05,9.4815
2017-10-06,3.3378
2017-10-09,1.746
2017-10-10,-1.7589000000000001
2017-10-11,-2.2707
2017-10-12,2.2341
2017-10-13,5.7692
2017-10-16,-0.8264
2017-10-17,-10.7083
2017-10-18,-6.8595
2017-10-19,-0.6012
2017-10-20,1.5625
2017-10-23,3.1762
2017-10-24,-2.1164
2017-10-25,-5.0614
2017-10-26,0.4141
2017-10-27,-3.9175
2017-10-30,2.4142
2017-10-31,0.5238
2017-11-01,-0.5732
2017-11-02,-5.87
2017-11-03,5.8463
2017-11-06,-0.263
2017-11-07,-4.7996
2017-11-08,-5.8172
2017-11-09,-1.5882
2017-11-10,4.0048
2017-11-13,1.5516999999999999
2017-11-14,-0.9055
2017-11-15,1.9417
2017-11-16,-0.4482
2017-11-17,10.2983
2017-11-20,6.2245
2017-11-21,1.2008
2017-11-22,-2.8477
2017-11-24,-1.8564
2017-11-27,-0.1991
2017-11-28,1.5461
2017-11-29,-5.501
2017-11-30,3.2225
2017-12-01,-1.5609
2017-12-04,-9.1049
2017-12-05,0.6753
2017-12-06,-4.5836
2017-12-07,4.7452
2017-12-08,1.8456000000000001
2017-12-11,-7.5783000000000005
2017-12-12,-1.3666
2017-12-13,7.3494
2017-12-14,-6.0045
2017-12-15,-1.2537
2017-12-18,3.6879999999999997
2017-12-19,-0.3499
2017-12-20,9.1867
2017-12-21,5.0375
2017-12-22,9.7449
2017-12-26,0.4184
2017-12-27,-2.7778
2017-12-28,6.2857
2017-12-29,1.5681
2018-01-02,11.2042
2018-01-03,3.689
2018-01-04,-4.3229
2018-01-05,3.1987
2018-01-08,-3.1771
2018-01-09,0.3201
2018-01-10,2.3534
2018-01-11,-2.6111
2018-01-12,-1.8007
2018-01-16,-0.652
2018-01-17,2.461
2018-01-18,4.2434
2018-01-19,5.4916
2018-01-22,1.5653000000000001
2018-01-23,0.681
2018-01-24,-5.1975999999999996
2018-01-25,1.6898
2018-01-26,-2.3634
2018-01-29,-0.8321
2018-01-30,0.5339
2018-01-31,-1.3657
2018-02-01,3.1923
2018-02-02,-2.6463
2018-02-05,-0.6891
2018-02-06,0.3084
2018-02-07,1.422
2018-02-08,-2.2357
2018-02-09,1.0465
2018-02-12,7.173
2018-02-13,3.5075
2018-02-14,0.2766
2018-02-15,-1.0345
2018-02-16,3.5192
