ticker,HEES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-01-31,28.3333
2006-02-01,0.8658
2006-02-02,-1.2876
2006-02-03,-0.1739
2006-02-06,1.9163999999999999
2006-02-07,0.3846
2006-02-08,1.7029
2006-02-09,0.7116
2006-02-10,0.7024
2006-02-13,-4.6597
2006-02-14,1.4719
2006-02-15,0.5119
2006-02-16,6.5365
2006-02-17,-0.3984
2006-02-21,-1.0
2006-02-22,-0.6061
2006-02-23,0.6098
2006-02-24,0.202
2006-02-27,1.2097
2006-02-28,-0.0797
2006-03-01,1.1562999999999999
2006-03-02,9.1841
2006-03-03,-1.7328999999999999
2006-03-06,2.1308
2006-03-07,0.7194
2006-03-08,-2.3214
2006-03-09,-4.6434999999999995
2006-03-10,3.2975
2006-03-13,-2.3385
2006-03-14,0.19
2006-03-15,0.0
2006-03-16,-0.4552
2006-03-17,2.8963
2006-03-20,-0.1852
2006-03-21,0.7421
2006-03-22,-0.4052
2006-03-23,0.9615
2006-03-24,-1.9414
2006-03-27,-0.1121
2006-03-28,4.6746
2006-03-29,0.1429
2006-03-30,-1.3914
2006-03-31,5.3546
2006-04-03,7.9327
2006-04-04,2.4499
2006-04-05,2.1739
2006-04-06,0.304
2006-04-07,-3.3636
2006-04-10,-5.5817
2006-04-11,-0.2989
2006-04-12,5.6296
2006-04-13,-1.0091
2006-04-17,2.6442
2006-04-18,2.0174
2006-04-19,0.0913
2006-04-20,0.9422
2006-04-21,3.252
2006-04-24,6.1242
2006-04-25,-3.49
2006-04-26,2.6196
2006-04-27,-2.3307
2006-04-28,-0.8239
2006-05-01,1.2604
2006-05-02,3.9038
2006-05-03,-2.0964
2006-05-04,2.03
2006-05-05,2.4257
2006-05-08,-3.7786
2006-05-09,0.0
2006-05-10,0.4425
2006-05-11,1.0463
2006-05-12,2.0981
2006-05-15,-6.4852
2006-05-16,-1.1701
2006-05-17,-0.1444
2006-05-18,-5.0318
2006-05-19,-4.7503
2006-05-22,-1.7263
2006-05-23,5.4001
2006-05-24,-5.0926
2006-05-25,2.6667
2006-05-26,-2.5023999999999997
2006-05-30,-3.8337
2006-05-31,0.5068
2006-06-01,4.8739
2006-06-02,0.5128
2006-06-05,-4.3367
2006-06-06,-2.0667
2006-06-07,-1.6338
2006-06-08,-6.5744
2006-06-09,-0.7037
2006-06-12,-6.229
2006-06-13,-1.5513
2006-06-14,3.2323
2006-06-15,7.1233
2006-06-16,0.0365
2006-06-19,-3.6523
2006-06-20,0.0379
2006-06-21,2.122
