ticker,KNIT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-17,13.0909
2019-04-18,12.5402
2019-04-22,50.0
2019-06-27,-5.7143
2019-07-03,1.0101
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,100.0
2019-07-12,25.0
2019-07-18,-30.0
2019-07-31,0.5714
2019-08-06,-14.7727
2019-08-15,-10.0
2019-08-21,-25.9259
2019-08-22,100.0
2019-08-26,-32.5
2019-08-29,48.1481
2019-08-30,12.5
2019-09-03,-10.6667
2019-09-04,-0.4975
2019-09-05,-12.5
2019-09-09,-17.1429
2019-09-10,0.0
2019-09-26,-6.8966
2019-10-10,0.0074
2019-10-15,-0.0074
2019-11-29,159.2593
2019-12-02,7.1429
2019-12-03,-40.0
2019-12-04,0.0
2019-12-06,-0.0044
2019-12-09,6.6714
2019-12-11,-16.6667
2020-01-08,-25.0
2020-01-15,0.0
2020-02-24,0.0
2020-03-16,-56.6667
2020-03-25,0.0
2020-04-08,92.3077
2020-04-14,4.0
2020-04-16,3.8462
2020-06-09,0.0
2020-06-30,11.1111
2020-07-15,13.3333
