ticker,SY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-02,31.8841
2019-05-03,14.1209
2019-05-06,-2.4073
2019-05-07,-1.184
2019-05-08,-5.1423
2019-05-09,-0.3684
2019-05-10,4.3317
2019-05-13,-4.5062999999999995
2019-05-14,1.0604
2019-05-15,-2.9381
2019-05-16,-11.9459
2019-05-17,-2.1486
2019-05-20,-5.1443
2019-05-21,3.7698
2019-05-22,-0.8286
2019-05-23,-2.3136
2019-05-24,-5.7895
2019-05-28,2.3045
2019-05-29,5.9386
2019-05-30,5.6701
2019-05-31,0.9756
2019-06-03,-3.3816
2019-06-04,2.375
2019-06-05,-14.2857
2019-06-06,-2.4217
2019-06-07,6.4234
2019-06-10,-1.5089000000000001
2019-06-11,3.6908
2019-06-12,-3.7609
2019-06-13,-1.3957
2019-06-14,-7.0064
2019-06-17,-2.5875
2019-06-18,8.6719
2019-06-19,-3.2351
2019-06-20,2.9718
2019-06-21,-2.5974
2019-06-24,-4.5184999999999995
2019-06-25,1.0861
2019-06-26,-0.1535
2019-06-27,12.5288
2019-06-28,-5.123
2019-07-01,6.9114
2019-07-02,5.7912
2019-07-03,-0.0637
2019-07-05,-4.3312
2019-07-08,0.1332
2019-07-09,2.7926
2019-07-10,-0.8409
2019-07-11,6.0665
2019-07-12,3.198
2019-07-15,-9.118
2019-07-16,-2.4918
2019-07-17,-2.152
2019-07-18,-0.8935
2019-07-19,-1.8723999999999998
2019-07-22,-3.3216
2019-07-23,1.3889
2019-07-24,7.354
2019-07-25,-4.231
2019-07-26,0.8415
2019-07-29,-2.0862
2019-07-30,1.9176
2019-07-31,0.3484
2019-08-01,3.3333
2019-08-02,-3.293
2019-08-05,-3.5441000000000003
2019-08-06,3.0259
2019-08-07,0.4196
2019-08-08,-1.8106
2019-08-09,1.7021
2019-08-12,2.7894
2019-08-13,2.0353
2019-08-14,-5.5186
2019-08-15,-1.3371
2019-08-16,3.4237
2019-08-19,7.0345
2019-08-20,1.8686
2019-08-21,-4.0481
2019-08-22,2.3072
2019-08-23,-4.6392
2019-08-26,4.5946
2019-08-27,0.8398
2019-08-28,6.3421
2019-08-29,-33.494
2019-08-30,8.6957
2019-09-03,-7.9167
2019-09-04,4.4344
2019-09-05,-2.4263
2019-09-06,-7.6377
2019-09-09,0.2885
2019-09-10,8.629
2019-09-11,-2.4713
2019-09-12,1.9005
2019-09-13,-0.7993
2019-09-16,-1.4324
2019-09-17,0.1817
2019-09-18,-2.5385
2019-09-19,3.1628
