ticker,LXFR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-03,10.0
2012-10-04,2.5455
2012-10-05,-2.305
2012-10-08,-2.3593
2012-10-09,-3.1599
2012-10-10,-0.1919
2012-10-11,0.0
2012-10-12,0.7692
2012-10-15,0.1908
2012-10-16,-1.1429
2012-10-17,0.4817
2012-10-18,5.6568000000000005
2012-10-19,-0.4537
2012-10-22,-2.3701
2012-10-23,-0.4669
2012-10-24,0.6567
2012-10-25,-1.1184
2012-10-26,0.8483
2012-10-31,2.7103
2012-11-01,2.1838
2012-11-02,0.8905
2012-11-05,1.3239
2012-11-06,-0.2613
2012-11-07,-1.31
2012-11-08,2.7434
2012-11-09,-0.9475
2012-11-12,-1.3043
2012-11-13,1.9383
2012-11-14,-3.8029
2012-11-15,-0.7188
2012-11-16,0.4525
2012-11-19,-0.4505
2012-11-20,1.3575
2012-11-21,1.3393
2012-11-23,-0.1773
2012-11-26,-2.1172
2012-11-27,-0.7214
2012-11-28,-0.0908
2012-11-29,0.0
2012-11-30,2.3636
2012-12-03,2.1758
2012-12-04,-0.6345
2012-12-05,-3.429
2012-12-06,-0.0906
2012-12-07,-0.272
2012-12-10,0.2727
2012-12-11,-0.272
2012-12-12,0.0909
2012-12-13,0.8174
2012-12-14,7.5676
2012-12-17,-4.9414
2012-12-18,2.2026
2012-12-19,0.0
2012-12-20,0.6034
2012-12-21,0.4284
2012-12-24,-0.256
2012-12-26,1.7109
2012-12-27,1.4298
2012-12-28,-0.4561
2012-12-31,2.2074
2013-01-02,2.282
2013-01-03,0.3984
2013-01-04,1.2698
2013-01-07,3.9969
2013-01-08,1.7332
2013-01-09,-2.2222
2013-01-10,-1.5152
2013-01-11,-0.1538
2013-01-14,-0.6934
2013-01-15,0.2327
2013-01-16,-1.7802
2013-01-17,-0.394
2013-01-18,0.3956
2013-01-22,3.0733
2013-01-23,0.4587
2013-01-24,-1.6871
2013-01-25,0.078
2013-01-28,0.6235
2013-01-29,0.6971
2013-01-30,-0.6154
2013-01-31,-0.0774
2013-02-01,1.0844
2013-02-04,0.0
2013-02-05,-0.1533
2013-02-06,3.3768000000000002
2013-02-07,-1.7816999999999998
2013-02-08,-0.6803
2013-02-11,-0.6849
2013-02-12,2.7586
2013-02-13,2.9083
2013-02-14,-0.8696
2013-02-15,0.3655
2013-02-19,2.6948
2013-02-20,-0.8511
2013-02-21,-1.1445
2013-02-22,-2.0984
2013-02-25,-2.2912
2013-02-26,-0.3026
2013-02-27,0.0759
