ticker,GAIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-06-23,0.2667
2005-06-24,0.3324
2005-06-27,0.0
2005-06-28,-0.5964
2005-06-29,0.0667
2005-06-30,0.2665
2005-07-01,0.0
2005-07-05,0.3322
2005-07-06,-0.0662
2005-07-07,0.1988
2005-07-08,-0.1323
2005-07-11,-0.1987
2005-07-12,0.7963
2005-07-13,1.0533
2005-07-14,1.9544000000000001
2005-07-15,0.9585
2005-07-18,0.5063
2005-07-19,0.2519
2005-07-20,0.6289
2005-07-21,0.625
2005-07-22,-1.8634
2005-07-25,0.2532
2005-07-26,-1.0101
2005-07-27,-2.7423
2005-07-28,-0.918
2005-07-29,0.5956
2005-08-01,-0.5263
2005-08-02,0.8598
2005-08-03,0.0
2005-08-04,0.6557
2005-08-05,-1.2378
2005-08-08,0.1979
2005-08-09,0.0658
2005-08-10,-1.3158
2005-08-11,1.3333
2005-08-12,0.2632
2005-08-15,-0.9843
2005-08-16,-0.729
2005-08-17,0.534
2005-08-18,-0.4648
2005-08-19,0.467
2005-08-22,-0.266
2005-08-23,-1.4667
2005-08-24,0.4736
2005-08-25,0.3367
2005-08-26,-0.4698
2005-08-29,0.8766
2005-08-30,0.1337
2005-08-31,-0.4673
2005-09-01,1.4085
2005-09-02,-1.7856999999999998
2005-09-06,1.0101
2005-09-07,-0.2
2005-09-08,-0.668
2005-09-09,0.2017
2005-09-12,0.6711
2005-09-13,-1.3333
2005-09-14,1.3514
2005-09-15,-0.2667
2005-09-16,0.6016
2005-09-19,0.0
2005-09-20,0.4651
2005-09-21,0.3311
2005-09-22,-0.066
2005-09-23,0.1321
2005-09-26,-0.3958
2005-09-27,-0.0662
2005-09-28,0.0166
2005-09-29,-0.2816
2005-09-30,-2.4585
2005-10-03,1.3624
2005-10-04,0.5376
2005-10-05,-0.9358
2005-10-06,-0.2699
2005-10-07,-1.9621
2005-10-10,-0.5521
2005-10-11,0.347
2005-10-12,-3.5961
2005-10-13,1.076
2005-10-14,-1.0646
2005-10-17,-0.1435
2005-10-18,0.0
2005-10-19,1.2213
2005-10-20,-1.3523
2005-10-21,1.9481000000000002
2005-10-24,1.4154
2005-10-25,-2.3029
2005-10-26,-0.5
2005-10-27,-0.6461
2005-10-28,1.1561
2005-10-31,1.5
2005-11-01,1.3371
2005-11-02,2.0833
2005-11-03,-1.9727999999999999
2005-11-04,0.694
2005-11-07,0.9649
2005-11-08,-0.3413
2005-11-09,-0.5479
2005-11-10,2.0661
2005-11-11,0.0
