ticker,HOKUQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-05,-10.6667
2005-08-08,4.4776
2005-08-09,14.2857
2005-08-10,-5.9375
2005-08-11,3.8205999999999998
2005-08-12,-0.448
2005-08-15,-0.5143
2005-08-16,-7.1082
2005-08-17,-0.5217
2005-08-18,-1.3986
2005-08-19,2.8369
2005-08-22,0.8621
2005-08-23,0.8547
2005-08-24,-2.5423999999999998
2005-08-25,4.3478
2005-08-26,0.0
2005-08-29,0.0
2005-08-30,0.0
2005-08-31,6.6667
2005-09-01,1.4062999999999999
2005-09-02,1.6949
2005-09-06,-4.5455
2005-09-07,-4.7619
2005-09-08,0.0
2005-09-09,3.3333
2005-09-12,-2.5806
2005-09-13,0.9934
2005-09-14,0.3279
2005-09-15,24.183
2005-09-16,30.0
2005-09-19,29.5547
2005-09-20,-13.2813
2005-09-21,-5.8559
2005-09-22,4.3062000000000005
2005-09-23,3.0275
2005-09-26,-5.3439
2005-09-27,-6.0196
2005-09-28,-6.2062
2005-09-29,8.4312
2005-09-30,5.315
2005-10-03,15.1402
2005-10-04,2.6786
2005-10-05,-5.1383
2005-10-06,-2.75
2005-10-07,4.1988
2005-10-10,-3.125
2005-10-11,-4.2445
2005-10-12,-0.4433
2005-10-13,-6.5004
2005-10-14,2.2857
2005-10-17,7.4488
2005-10-18,-0.8666
2005-10-19,2.2727
2005-10-20,-5.9829
2005-10-21,3.9091
2005-10-24,2.0122
2005-10-25,6.3465
2005-10-26,-3.5484
2005-10-27,-2.8428
2005-10-28,-5.5077
2005-10-31,-3.5519
2005-11-01,-2.9273
2005-11-02,-4.572
2005-11-03,2.5484
2005-11-04,-0.6958
2005-11-07,-1.4014
2005-11-08,0.9137
2005-11-09,-0.503
2005-11-10,-4.8534
2005-11-11,2.0191
2005-11-14,-0.7305
2005-11-15,-1.8875
2005-11-16,-4.1711
2005-11-17,-2.7902
2005-11-18,-3.9036
2005-11-21,12.043
2005-11-22,-1.1516
2005-11-23,-1.1865999999999999
2005-11-25,-2.8398
2005-11-28,-0.2233
2005-11-29,-3.0405
2005-11-30,2.2067
2005-12-01,0.5682
2005-12-02,0.339
2005-12-05,8.4459
2005-12-06,-3.1153
2005-12-07,-1.3934
2005-12-08,-1.9565000000000001
2005-12-09,-0.2217
2005-12-12,-0.1111
2005-12-13,0.0
2005-12-14,-0.1112
2005-12-15,-0.8909
2005-12-16,0.5618
2005-12-19,-4.3575
2005-12-20,-5.0234
2005-12-21,0.861
2005-12-22,-0.122
