ticker,OPRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-27,9.25
2018-07-30,-8.3905
2018-07-31,0.6661
2018-08-01,0.4136
2018-08-02,-0.5766
2018-08-03,-4.7225
2018-08-06,16.6087
2018-08-07,1.6406
2018-08-08,-1.4674
2018-08-09,0.4468
2018-08-10,-0.9637
2018-08-13,-1.9087
2018-08-14,-1.6406
2018-08-15,-17.6881
2018-08-16,8.3883
2018-08-17,-4.6087
2018-08-20,2.917
2018-08-21,7.9717
2018-08-22,3.4454000000000002
2018-08-23,-0.3965
2018-08-24,6.051
2018-08-27,1.8769
2018-08-28,-8.4009
2018-08-29,-0.0805
2018-08-30,-1.8519
2018-08-31,-3.1993
2018-09-04,2.5423999999999998
2018-09-05,-3.8843
2018-09-06,-1.1178
2018-09-07,-1.1304
2018-09-10,-0.7036
2018-09-11,-1.7715
2018-09-12,-0.6312
2018-09-13,3.902
2018-09-14,-3.4934
2018-09-17,-2.2624
2018-09-18,-6.1111
2018-09-19,-2.1696
2018-09-20,0.7056
2018-09-21,-3.4034
2018-09-24,-6.114
2018-09-25,-2.649
2018-09-26,3.288
2018-09-27,-0.8782
2018-09-28,-0.443
2018-10-01,-1.0011
2018-10-02,2.9213
2018-10-03,0.8734
2018-10-04,-3.1385
2018-10-05,-1.6760000000000002
2018-10-08,-2.9545
2018-10-09,-0.4684
2018-10-10,-4.1176
2018-10-11,-5.1534
2018-10-12,0.5175
2018-10-15,-0.5148
2018-10-16,1.1643
2018-10-17,-4.9872
2018-10-18,-3.4993
2018-10-19,-5.0209
2018-10-22,-2.6432
2018-10-23,0.905
2018-10-24,-2.5411
2018-10-25,7.5153
2018-10-26,0.428
2018-10-29,0.8523
2018-10-30,-4.507
2018-10-31,-2.6549
2018-11-01,6.8182
2018-11-02,-4.2553
2018-11-05,0.5926
2018-11-06,-3.6818999999999997
2018-11-07,-1.0703
2018-11-08,14.6832
2018-11-09,-7.0081
2018-11-12,-3.4783
2018-11-13,-2.2523
2018-11-14,3.6866
2018-11-15,-1.7778
2018-11-16,1.6591
2018-11-19,-1.0386
2018-11-20,-0.8996
2018-11-21,5.5976
2018-11-23,-0.4298
2018-11-26,0.1439
2018-11-27,-5.1724
2018-11-28,2.8788
2018-11-29,-0.1473
2018-11-30,1.7699
2018-12-03,0.4348
2018-12-04,-8.3694
2018-12-06,0.6299
2018-12-07,-4.5383
2018-12-10,-1.9672
2018-12-11,-5.5184
2018-12-12,0.177
2018-12-13,-1.9435
