ticker,EPAZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-07,-35.4839
2008-02-08,-50.0
2008-02-21,100.0
2008-02-26,5.0
2008-03-06,-9.5238
2008-03-07,0.0
2008-03-12,47.3684
2008-03-14,0.0
2008-03-18,-35.7143
2008-03-19,0.0
2008-03-20,-16.6667
2008-03-26,13.3333
2008-03-28,-11.7647
2008-03-31,0.0
2008-04-01,6.6667
2008-04-04,-18.75
2008-04-08,0.0
2008-04-09,0.0
2008-04-11,15.3846
2008-04-16,0.0
2008-04-22,-20.0
2008-04-24,0.0
2008-04-25,16.6667
2008-04-28,-28.5714
2008-05-07,20.0
2008-05-16,-33.3333
2008-05-21,25.0
2008-05-28,0.0
2008-05-29,10.0
2008-06-02,-9.0909
2008-06-12,-20.0
2008-06-25,-12.5
2008-06-26,57.1429
2008-07-01,-36.3636
2008-07-02,0.0
2008-07-07,-14.2857
2008-07-08,0.0
2008-07-11,-8.3333
2008-07-14,-9.0909
2008-07-16,20.0
2008-07-21,-16.6667
2008-07-22,20.0
2008-07-25,-16.6667
2008-07-28,20.0
2008-08-04,0.0
2008-08-06,-16.6667
2008-08-12,-20.0
2008-08-14,0.0
2008-08-15,0.0
2008-08-19,0.0
2008-08-25,0.0
2008-09-16,0.0
2008-09-19,0.0
2008-10-01,-2.5
2008-10-02,0.0
2008-10-06,-10.2564
2008-10-14,-42.8571
2008-10-15,0.0
2008-10-21,-85.0
2008-10-28,66.6667
2008-12-03,-20.0
2009-01-12,150.0
2009-01-13,400.0
2009-01-14,-60.0
2009-01-15,150.0
2009-01-16,0.0
2009-01-20,-20.0
2009-01-21,0.0
2009-01-22,0.0
2009-01-27,0.0
2009-01-30,-25.0
2009-02-20,-66.6667
2009-02-26,0.0
2009-03-03,100.0
2009-03-24,-50.0
2009-03-25,100.0
2009-03-27,200.0
2009-03-30,33.3333
2009-03-31,-66.25
2009-04-01,122.2222
2009-04-02,0.0
2009-04-03,-58.3333
2009-04-06,28.0
2009-04-08,-21.875
2009-04-09,-36.0
2009-04-13,0.0
2009-04-14,0.0
2009-04-15,0.0
2009-04-16,-25.0
2009-04-17,0.0
2009-04-20,0.0
2009-04-21,66.6667
2009-04-22,0.0
2009-04-23,-12.5
2009-04-24,-31.4286
2009-04-27,83.3333
2009-04-28,-9.0909
2009-05-04,-45.0
2009-05-05,36.3636
2009-05-06,-20.0
2009-05-07,-16.6667
2009-05-08,0.0
2009-05-13,0.0
2009-05-19,0.0
2009-05-22,-20.0
