ticker,LASR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-26,68.4375
2018-04-27,-7.1985
2018-04-30,-0.3199
2018-05-01,7.7818000000000005
2018-05-02,8.2248
2018-05-03,1.066
2018-05-04,-0.4423
2018-05-07,-0.3759
2018-05-08,2.6414999999999997
2018-05-09,3.4759
2018-05-10,0.7752
2018-05-11,-3.6538
2018-05-14,2.1955999999999998
2018-05-15,-2.1484
2018-05-16,-0.2329
2018-05-17,0.0
2018-05-18,-0.0667
2018-05-21,1.7684
2018-05-22,4.2623
2018-05-23,-5.8805
2018-05-24,21.5169
2018-05-25,2.9145
2018-05-29,1.1755
2018-05-30,-2.3237
2018-05-31,0.4325
2018-06-01,9.9327
2018-06-04,-0.9549
2018-06-05,-4.796
2018-06-06,4.3885
2018-06-07,-5.0746
2018-06-08,-10.1939
2018-06-11,3.8809
2018-06-12,7.0506
2018-06-13,-1.1808
2018-06-14,3.6113
2018-06-15,-1.102
2018-06-18,-0.4405
2018-06-19,-9.9948
2018-06-20,3.2389
2018-06-21,-1.4846
2018-06-22,-0.4834
2018-06-25,-0.0286
2018-06-26,6.6305
2018-06-27,-4.2348
2018-06-28,-6.885
2018-06-29,-0.6312
2018-07-02,-1.4822
2018-07-03,0.8904
2018-07-05,-1.0956
2018-07-06,-1.7538
2018-07-09,1.0961
2018-07-10,4.8637
2018-07-11,0.0
2018-07-12,1.9792999999999998
2018-07-13,1.9988000000000001
2018-07-16,6.2482
2018-07-17,9.3291
2018-07-18,-1.3447
2018-07-19,-1.71
2018-07-20,1.2859
2018-07-23,0.3236
2018-07-24,-3.598
2018-07-25,-5.0193
2018-07-26,6.6667
2018-07-27,-2.2866
2018-07-30,-4.6542
2018-07-31,-16.7439
2018-08-01,-0.0983
2018-08-02,-0.0656
2018-08-03,0.6562
2018-08-06,5.6389
2018-08-07,-2.9003
2018-08-08,-4.1627
2018-08-09,7.8248999999999995
2018-08-10,5.4736
2018-08-13,0.2332
2018-08-14,0.5817
2018-08-15,0.723
2018-08-16,-1.6652
2018-08-17,-5.0803
2018-08-20,-5.1984
2018-08-21,-3.2446
2018-08-22,-4.3595
2018-08-23,1.3324
2018-08-24,3.7024
2018-08-27,4.0707
2018-08-28,-1.1542
2018-08-29,-5.3844
2018-08-30,-0.7199
2018-08-31,6.3881
2018-09-04,-9.1529
2018-09-05,0.5716
2018-09-06,-2.6288
2018-09-07,-1.3498999999999999
2018-09-10,1.8491
2018-09-11,-1.5614
2018-09-12,-0.9222
