ticker,RAMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,4.1667
2000-01-04,-0.5
2000-01-05,1.005
2000-01-06,0.995
2000-01-07,0.4926
2000-01-10,0.7353
2000-01-11,-0.4866
2000-01-12,1.7115
2000-01-13,2.1635
2000-01-14,-0.9412
2000-01-18,2.3753
2000-01-19,0.0
2000-01-20,0.6961
2000-01-21,-4.3779
2000-01-24,1.4458
2000-01-25,-3.0879
2000-01-26,1.9607999999999999
2000-01-27,-1.6827
2000-01-28,-0.6112
2000-01-31,-0.246
2000-02-01,1.3564
2000-02-02,1.2165
2000-02-03,0.0
2000-02-04,-0.2404
2000-02-07,2.5904
2000-02-08,0.7634
2000-02-09,0.6993
2000-02-10,2.0833
2000-02-11,5.4422
2000-02-14,-3.6559
2000-02-15,2.1205
2000-02-16,-0.765
2000-02-17,-0.8811
2000-02-18,-4.8889
2000-02-22,-2.8037
2000-02-23,4.5673
2000-02-24,-4.5977
2000-02-25,0.3614
2000-02-28,3.4814
2000-02-29,7.1926
2000-03-01,3.5714
2000-03-02,-3.2393
2000-03-03,10.2052
2000-03-06,6.8104
2000-03-07,3.3028
2000-03-08,-0.5329
2000-03-09,-0.1786
2000-03-10,1.2522
2000-03-13,0.0
2000-03-14,-2.0318
2000-03-15,-6.9432
2000-03-16,-1.5504
2000-03-17,4.1339
2000-03-20,-6.0491
2000-03-21,5.7344
2000-03-22,-0.666
2000-03-23,0.5747
2000-03-24,-1.7143000000000002
2000-03-27,-0.5814
2000-03-28,-3.7037
2000-03-29,-2.0243
2000-03-30,7.8512
2000-03-31,1.9157
2000-04-03,-6.391
2000-04-04,2.4096
2000-04-05,-3.3333
2000-04-06,1.8256000000000001
2000-04-07,-2.5896
2000-04-10,-3.0675
2000-04-11,-3.7975
2000-04-12,-0.8772
2000-04-13,-1.5487
2000-04-14,-9.2135
2000-04-17,3.4653
2000-04-18,12.4402
2000-04-19,-6.383
2000-04-20,-2.7273
2000-04-24,0.0
2000-04-25,10.2804
2000-04-26,-8.2627
2000-04-27,2.7714
2000-04-28,-2.9213
2000-05-01,11.8056
2000-05-02,-6.6253
2000-05-03,-0.2217
2000-05-04,6.0
2000-05-05,5.2411
2000-05-08,2.3904
2000-05-09,-2.3346
2000-05-10,-5.3785
2000-05-11,4.0
2000-05-12,-3.8462
2000-05-15,4.6316
2000-05-16,2.6157
2000-05-17,-1.9607999999999999
2000-05-18,-7.8
2000-05-19,-1.9523000000000001
2000-05-22,-4.4248
