ticker,AFTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-19,0.0
2002-03-20,0.6061
2002-03-21,-0.6024
2002-03-22,0.6061
2002-03-25,2.4096
2002-03-26,0.5882
2002-03-27,0.5848
2002-03-28,-0.5814
2002-04-01,1.1696
2002-04-02,0.578
2002-04-03,0.0
2002-04-04,1.1494
2002-04-05,0.5682
2002-04-08,0.565
2002-04-09,1.1236
2002-04-10,-0.5556
2002-04-11,-0.5587
2002-04-12,2.2472
2002-04-15,-0.5495
2002-04-16,0.5525
2002-04-17,0.0
2002-04-18,0.0
2002-04-19,0.0
2002-04-22,0.5495
2002-04-23,1.0929
2002-04-24,0.0
2002-04-26,-1.0811
2002-04-29,1.6393
2002-04-30,0.5376
2002-05-01,-0.5348
2002-05-03,1.0753
2002-05-06,0.0
2002-05-09,3.7234
2002-05-10,2.5641
2002-05-13,-1.0
2002-05-14,1.0101
2002-05-15,0.0
2002-05-16,2.0
2002-05-17,0.0
2002-05-21,-0.9804
2002-05-22,-1.4851
2002-05-23,0.5025
2002-05-24,0.0
2002-05-28,-0.5
2002-05-29,0.5025
2002-05-30,0.0
2002-05-31,0.0
2002-06-04,-0.5
2002-06-07,0.5025
2002-06-11,0.0
2002-06-12,-0.5
2002-06-14,2.0101
2002-06-24,3.4483
2002-06-25,2.3810000000000002
2002-06-26,-4.6512
2002-06-27,2.439
2002-06-28,-3.8095
2002-07-01,1.4851
2002-07-29,-1.4634
2002-07-30,0.0
2002-07-31,0.0
2002-08-01,0.0
2002-08-02,0.0
2002-08-07,0.9901
2002-08-19,0.0
2002-08-21,0.0
2002-09-10,0.0
2002-09-16,0.9804
2002-09-20,-2.9126
2002-10-28,-2.5
2002-11-20,-7.6923
2002-12-03,-20.6667
2002-12-04,-8.9636
2002-12-05,-23.0769
2002-12-06,30.0
2002-12-09,-37.8462
2002-12-13,29.9505
2002-12-16,-42.2857
2002-12-17,2.3102
2002-12-18,-3.2258
2002-12-24,116.6667
2003-01-15,-84.4615
2003-01-16,0.0
2003-01-22,251.4851
2003-03-13,40.8451
2003-05-13,-49.0
2003-05-14,-35.2941
2003-05-30,112.1212
2003-06-11,0.0
2004-03-25,-85.4286
2004-03-26,-39.2157
2004-03-30,-19.3548
2004-03-31,0.0
2004-04-05,24.0
2004-04-13,-35.4839
2004-04-16,0.0
2004-04-23,0.0
2004-04-26,-50.0
2004-05-17,-50.0
2004-06-29,300.0
2004-07-01,0.0
2004-07-07,0.0
2004-07-16,-75.0
