ticker,MSTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.7143
2000-01-04,-5.9952
2000-01-05,6.3776
2000-01-06,-3.9568
2000-01-07,5.0562
2000-01-10,19.4296
2000-01-11,-5.0746
2000-01-12,-3.1447
2000-01-13,-1.7316
2000-01-14,0.413
2000-01-18,5.8953
2000-01-19,9.7877
2000-01-20,8.6144
2000-01-21,0.4506
2000-01-24,-2.1185
2000-01-25,2.1201
2000-01-26,2.0761
2000-01-27,1.3982999999999999
2000-01-28,3.6356
2000-01-31,-10.4032
2000-02-01,-4.4104
2000-02-02,9.2279
2000-02-03,2.7586
2000-02-04,-4.719
2000-02-07,-0.5943
2000-02-08,12.2675
2000-02-09,-0.7101
2000-02-10,4.6881
2000-02-11,1.9355
2000-02-14,1.1914
2000-02-15,1.1038000000000001
2000-02-16,1.7467000000000001
2000-02-17,-1.2876
2000-02-18,-6.9565
2000-02-22,-6.1916
2000-02-23,2.6982
2000-02-24,1.8593
2000-02-25,-4.7619
2000-02-28,0.0
2000-02-29,-7.2917
2000-03-01,27.236
2000-03-02,1.7662
2000-03-03,4.4082
2000-03-06,19.6809
2000-03-07,9.3333
2000-03-08,-0.8638
2000-03-09,16.1199
2000-03-10,10.5275
2000-03-13,-5.9555
2000-03-14,-0.8015
2000-03-15,-8.0051
2000-03-16,-7.4453
2000-03-17,-8.7984
2000-03-20,-61.742
2000-03-21,-16.6427
2000-03-22,22.709600000000002
2000-03-23,32.6818
2000-03-24,9.5687
2000-03-27,-12.4031
2000-03-28,-12.8319
2000-03-29,-2.2843
2000-03-30,-0.2597
2000-03-31,-9.3099
2000-04-03,-11.4142
2000-04-04,-7.6175
2000-04-05,-8.2456
2000-04-06,-6.6922
2000-04-07,5.5328
2000-04-10,-10.4854
2000-04-11,-13.449
2000-04-12,-14.787
2000-04-13,-8.0882
2000-04-14,-14.08
2000-04-17,-8.7523
2000-04-18,15.7143
2000-04-19,-0.1764
2000-04-20,-4.7703
2000-04-24,-12.4304
2000-04-25,6.3559
2000-04-26,-5.3785
2000-04-27,-17.0526
2000-04-28,5.0761
2000-05-01,2.8986
2000-05-02,-3.9906
2000-05-03,-3.1785
2000-05-04,5.5556
2000-05-05,-4.3062000000000005
2000-05-08,-8.0
2000-05-09,-6.5217
2000-05-10,-6.9767
2000-05-11,-0.2344
2000-05-12,19.6554
2000-05-15,-2.6178
2000-05-16,3.2258
2000-05-17,6.25
2000-05-18,-6.1275
2000-05-19,-8.6162
